species,Lon,Lat,Temp,Sal,Status
Acartia tonsa,138.79772,-36.45372,15.992697,35.546112,PNIS
Acartia tonsa,138.02055,-35.67895,16.772179,35.648346,PNIS
Acartia tonsa,113.779,-21.99,19.06619,35.571873,PNIS
Acartia tonsa,19.91,57.3299999991434,3.006689,10.814529,PNIS
Acartia tonsa,147.6184,-19.3085,25.668059,35.131084,PNIS
Acartia tonsa,8.46,58.32,9.238486,33.842815,PNIS
Acartia tonsa,147.05472,-39.01302,15.293361,35.506882,PNIS
Acartia tonsa,146.23594,-39.19961,15.077614,35.38187,PNIS
Acartia tonsa,146.6477,-39.11615,15.045546,35.523716,PNIS
Acartia tonsa,139.99274,-37.69407,15.047406,35.390469,PNIS
Acartia tonsa,145.86191,-39.053,14.894557,35.339905,PNIS
Acartia tonsa,146.32137,-39.20217,15.266225,35.401642,PNIS
Acartia tonsa,147.13603,-38.9964,15.346586,35.506538,PNIS
Acartia tonsa,145.93544,-39.08935,14.888718,35.343945,PNIS
Acartia tonsa,146.72929,-39.09999,15.126103,35.522873,PNIS
Acartia tonsa,139.59639,-37.29379,15.663007,35.45303,PNIS
Acartia tonsa,139.34096,-37.02996,15.797686,35.487778,PNIS
Acartia tonsa,116.55379,-35.69714,1.016955,34.732754,PNIS
Acartia tonsa,115.42129,-35.31753,1.441756,34.747482,PNIS
Acartia tonsa,140.37356,-38.08192,15.097043,35.37191,PNIS
Acartia tonsa,140.11266,-37.81978,15.308639,35.388485,PNIS
Acartia tonsa,117.79423,-36.05255,0.770232,34.705563,PNIS
Acartia tonsa,117.31456,-35.94423,0.773076,34.706673,PNIS
Acartia tonsa,141.8702,-38.68823,14.03277,35.297539,PNIS
Acartia tonsa,147.28253,-38.95867,15.511234,35.498695,PNIS
Acartia tonsa,151.09251,-35.13071,5.483298,34.460724,PNIS
Acartia tonsa,12.4152,55.61548,9.809813,18.029411,PNIS
Acartia tonsa,17.62533,58.8029999991648,6.720625,6.68803,PNIS
Acartia tonsa,7.97,54.990002,10.788327,33.789886,PNIS
