Part,X,Y
"7",67.11047,32.66694
"7",67.11045,32.66717
"7",67.11038,32.66733
"7",67.11038,32.66733
"7",67.11023,32.66745
"7",67.11016,32.66753
"7",67.11011,32.66758
"7",67.10999,32.66784
"7",67.10999,32.66784
"7",67.10993,32.66787
"7",67.10992,32.66788
"7",67.10982,32.66826
"7",67.10973,32.66859
"7",67.10971,32.66862
"7",67.10959,32.66877
"7",67.10944,32.66884
"7",67.10940,32.66886
"7",67.10932,32.66898
"7",67.10929,32.66920
"7",67.10929,32.66960
"7",67.10929,32.66961
"7",67.10935,32.66989
"7",67.10952,32.67000
"7",67.10981,32.66969
"7",67.10990,32.66975
"7",67.11001,32.66981
"7",67.11016,32.66964
"7",67.11019,32.66968
"7",67.11023,32.66972
"7",67.11030,32.66973
"7",67.11034,32.66973
"7",67.11043,32.66973
"7",67.11043,32.66973
"7",67.11056,32.66997
"7",67.11057,32.66997
"7",67.11065,32.66994
"7",67.11078,32.66987
"7",67.11080,32.66983
"7",67.11084,32.66974
"7",67.11087,32.66966
"7",67.11091,32.66954
"7",67.11090,32.66922
"7",67.11090,32.66906
"7",67.11091,32.66905
"7",67.11095,32.66890
"7",67.11100,32.66892
"7",67.11103,32.66893
"7",67.11114,32.66901
"7",67.11122,32.66906
"7",67.11123,32.66908
"7",67.11134,32.66933
"7",67.11140,32.66943
"7",67.11142,32.66947
"7",67.11144,32.66960
"7",67.11145,32.66968
"7",67.11143,32.66978
"7",67.11140,32.67003
"7",67.11139,32.67043
"7",67.11138,32.67085
"7",67.11135,32.67122
"7",67.11135,32.67122
"7",67.11137,32.67146
"7",67.11143,32.67184
"7",67.11150,32.67198
"7",67.11156,32.67205
"7",67.11156,32.67213
"7",67.11156,32.67215
"7",67.11157,32.67223
"7",67.11157,32.67224
"7",67.11157,32.67251
"7",67.11153,32.67288
"7",67.11150,32.67302
"7",67.11146,32.67317
"7",67.11140,32.67319
"7",67.11131,32.67312
"7",67.11127,32.67315
"7",67.11123,32.67337
"7",67.11123,32.67353
"7",67.11123,32.67365
"7",67.11121,32.67373
"7",67.11121,32.67374
"7",67.11113,32.67392
"7",67.11112,32.67410
"7",67.11114,32.67426
"7",67.11118,32.67427
"7",67.11122,32.67428
"7",67.11128,32.67421
"7",67.11135,32.67427
"7",67.11136,32.67446
"7",67.11138,32.67450
"7",67.11144,32.67460
"7",67.11147,32.67473
"7",67.11147,32.67475
"7",67.11145,32.67488
"7",67.11144,32.67496
"7",67.11143,32.67505
"7",67.11144,32.67522
"7",67.11144,32.67523
"7",67.11146,32.67540
"7",67.11145,32.67546
"7",67.11143,32.67561
"7",67.11136,32.67571
"7",67.11136,32.67571
"7",67.11131,32.67587
"7",67.11131,32.67589
"7",67.11130,32.67603
"7",67.11130,32.67608
