Part,Архип,N,X,Y
"6",Лувеньгский,"397",67.08831,32.72723
"6",Лувеньгский,"398",67.08885,32.72749
"6",Лувеньгский,"399",67.08902,32.72724
"6",Лувеньгский,"400",67.08912,32.72774
"6",Лувеньгский,"401",67.08897,32.72811
"6",Лувеньгский,"402",67.08856,32.72855
"6",Лувеньгский,"403",67.08838,32.72931
"6",Лувеньгский,"404",67.08803,32.73004
"6",Лувеньгский,"405",67.08752,32.73002
"6",Лувеньгский,"406",67.08718,32.73051
"6",Лувеньгский,"407",67.08699,32.73143
"6",Лувеньгский,"408",67.08709,32.73211
"6",Лувеньгский,"409",67.08693,32.73319
"6",Лувеньгский,"410",67.08687,32.73378
"6",Лувеньгский,"411",67.08652,32.73339
"6",Лувеньгский,"412",67.08603,32.73364
"6",Лувеньгский,"413",67.08573,32.73441
"6",Лувеньгский,"414",67.08543,32.73478
"6",Лувеньгский,"415",67.08497,32.73517
"6",Лувеньгский,"416",67.08481,32.73602
"6",Лувеньгский,"417",67.08488,32.73640
"6",Лувеньгский,"418",67.08534,32.73682
"6",Лувеньгский,"419",67.08523,32.73718
"6",Лувеньгский,"420",67.08519,32.73755
"6",Лувеньгский,"421",67.08495,32.73754
"6",Лувеньгский,"422",67.08427,32.73845
"6",Лувеньгский,"423",67.08426,32.73930
"6",Лувеньгский,"424",67.08394,32.73948
"6",Лувеньгский,"425",67.08388,32.74029
"6",Лувеньгский,"426",67.08411,32.74104
"6",Лувеньгский,"427",67.08394,32.74159
"6",Лувеньгский,"428",67.08345,32.74200
"6",Лувеньгский,"429",67.08288,32.74209
"6",Лувеньгский,"430",67.08256,32.74295
"6",Лувеньгский,"431",67.08250,32.74400
"6",Лувеньгский,"432",67.08203,32.74463
"6",Лувеньгский,"433",67.08150,32.74491
"6",Лувеньгский,"434",67.08139,32.74529
"6",Лувеньгский,"435",67.08155,32.74563
"6",Лувеньгский,"436",67.08170,32.74618
"6",Лувеньгский,"437",67.08159,32.74662
"6",Лувеньгский,"438",67.08130,32.74705
"6",Лувеньгский,"439",67.08069,32.74881
"6",Лувеньгский,"440",67.08037,32.74930
"6",Лувеньгский,"441",67.07994,32.74942
"6",Лувеньгский,"442",67.07990,32.75039
"6",Лувеньгский,"443",67.07962,32.75067
"6",Лувеньгский,"444",67.07936,32.75062
"6",Лувеньгский,"445",67.07936,32.75094
"6",Лувеньгский,"446",67.07919,32.75098
"6",Лувеньгский,"447",67.07945,32.75177
"6",Лувеньгский,"448",67.07941,32.75233
"6",Лувеньгский,"449",67.07917,32.75248
"6",Лувеньгский,"450",67.07904,32.75310
"6",Лувеньгский,"451",67.07868,32.75622
"6",Лувеньгский,"452",67.07836,32.75689
"6",Лувеньгский,"453",67.07809,32.75865
"6",Лувеньгский,"454",67.07759,32.75938
"6",Лувеньгский,"455",67.06474,32.72514
"6",Лувеньгский,"456",67.06924,32.68041
"6",Лувеньгский,"457",67.10029,32.62089
"6",Лувеньгский,"458",67.11164,32.56063
"6",Лувеньгский,"459",67.12167,32.57547
"7",Северный,"460",67.03642,32.46463
"7",Северный,"461",67.03926,32.47280
"7",Северный,"462",67.03929,32.48391
"7",Северный,"463",67.03685,32.49194
"7",Северный,"464",67.03250,32.49249
"7",Северный,"465",67.02921,32.48651
"7",Северный,"466",67.02895,32.47550
"7",Северный,"467",67.03169,32.46552
"7",Северный,"468",67.03642,32.46463
