"","BF1","BF2","BF3","BF4","BF5","BS1","BS2","BS3","BS4","BS5","FH1","FH2","FH3","FH4","FH5","F1","F2","F3","LD1","LD2","LD3","LH1","LH2","LH3","LH4","LH5","LH6","MV1","MV2","MV3","MV4","R1","R2","R3","R4","SO1","SO2","SO3"
"Eusirus.cuspidatus",0,0,0,6,0,0,2,4,0,0,0,0,0,6,0,0,4,2,0,0,6,6,0,0,0,0,0,0,2,0,4,0,0,0,6,6,0,0
"Euspira.pallida",4,0,0,0,2,0,2,4,2,0,0,0,0,6,0,0,4,2,0,2,4,6,0,0,0,0,0,0,0,6,0,0,0,6,0,4,2,0
"Evasterias.echinosoma",0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,2,1,0
"Flabelligera.mastigophora",0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,2,1,0,0,0,3,2,2,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0
"Flabellina.sp..",1,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0
"Florometra",0,0,0,0,3,0,0,1,2,0,0,3,0,0,0,0,2,1,0,2,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0,3,0
"Gammaridae",0,0,0,3,0,1,2,1,0,0,2,1,0,0,0,0,2,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0
"Gastropoda",2,0,0,0,1,0,2,2,1,1,2,0,2,2,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,3,0,3,0,0
"Gattyana.amondseni",0,4,2,0,0,2,4,0,0,0,0,0,0,6,0,2,4,0,6,0,0,2,0,0,4,0,0,0,6,0,0,0,6,0,0,6,0,0
"Gattyana.ciliata",0,4,2,0,0,0,0,4,2,0,0,0,0,6,0,2,4,0,6,0,0,6,0,0,0,0,0,0,4,4,0,0,6,0,0,6,0,0
"Gattyana.cirrhosa",0,4,2,0,0,0,0,4,2,0,0,0,0,6,0,2,4,0,6,0,0,2,0,0,4,2,0,0,4,2,0,0,6,0,0,4,2,0
"Gattyana.sp.",0,4,2,0,0,0,0,4,2,0,0,0,0,6,0,2,4,0,6,0,0,4,0,0,4,2,0,0,4,2,0,0,6,0,0,4,2,0
"Gaudichaudius.iphionelloides",0,2,1,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gersemia.rubiformis",2,0,0,0,4,0,4,4,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,0,0,6
