Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;BMR;Bad;Leaks;Phase;Parasitemy;Survival
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;01.10.2020;32;12,72;19,58892734;0;1;4;0;Yes
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;01.10.2020;32;12,38;22,71883159;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;01.10.2020;32;13,24;25,16588581;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;01.10.2020;32;13,48;22,90805026;0;1;4;0;Yes
Spinus spinus;Rybachy;xj26972;Siskinary;f;Cont;0;02.10.2020;33;13,88;19,75114821;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;02.10.2020;33;13,38;23,29427901;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;02.10.2020;33;11,67;19,95848548;0;1;4;0;No
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;02.10.2020;33;13,42;19,31869603;0;1;4;0;Yes
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;03.10.2020;34;13,56;25,87651624;0;1;4;0;Yes
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;03.10.2020;34;11,35;20,94751932;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;03.10.2020;34;12,88;22,68609911;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;03.10.2020;34;11,7;23,36753472;0;1;4;0;No
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;04.10.2020;35;12,56;20,82853551;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;04.10.2020;44;11,89;24,45635285;0;1;5;2,166666667;Yes
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;04.10.2020;44;13,44;21,64300651;0;1;5;0,04;Yes
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;04.10.2020;35;12,06;21,43689888;0;1;4;0;Yes
Spinus spinus;Rybachy;xj26917;Siskinary;f;Exp_1;1;05.10.2020;45;11,87;25,47384742;0;1;5;0,26;Yes
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;05.10.2020;45;13,19;25,45887602;0;1;5;0,135;Yes
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;05.10.2020;45;13;23,89263368;0;1;5;0,105;Yes
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;05.10.2020;45;15,51;22,67832629;0;1;5;0,15;Yes
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;06.10.2020;46;13,32;25,06993386;0;0;5;0,029666667;Yes
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;06.10.2020;46;13,13;23,87360131;0;0;5;0,373333333;Yes
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;06.10.2020;46;12,99;22,8380021;0;0;5;0,056666667;Yes
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;06.10.2020;46;12,35;23,99960969;0;0;5;0,833333333;Yes
Spinus spinus;Rybachy;xj26917;Siskinary;f;Exp_1;1;07.10.2020;47;11,43;23,98691065;0;0;6;0,366666667;Yes
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;07.10.2020;47;11,13;25,04495479;0;0;6;3,166666667;Yes
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;07.10.2020;47;13,21;24,49580917;0;0;6;0,085;Yes
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;07.10.2020;47;13,43;25,1235487;0;0;6;0,218333333;Yes
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;08.10.2020;39;12,84;19,83317602;0;0;5;0;Yes
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;08.10.2020;39;11,91;23,6937429;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;08.10.2020;39;13,22;28,44411685;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;08.10.2020;39;13,55;24,20135231;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;09.10.2020;49;13,16;25,90119453;0;0;6;0,06;Yes
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;09.10.2020;49;13,05;26,04622397;0;0;6;0,120666667;Yes
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;09.10.2020;49;13,12;23,56943535;0;0;6;0,67;Yes
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;09.10.2020;49;15,54;23,72347842;0;0;6;0,06;Yes
Spinus spinus;Rybachy;xj26793;Siskinary;m;Cont;0;10.10.2020;41;12,7;23,8052516;0;0;5;0;Yes
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;10.10.2020;41;12,9;23,49300271;0;0;5;0;Yes
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;10.10.2020;50;13,28;25,42372779;0;0;6;0,346666667;Yes
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;10.10.2020;50;13,48;20,98168643;0;0;6;0,04;Yes
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;11.10.2020;47;13,69;24,84461733;0;0;5;0,29994;Yes
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;11.10.2020;47;15,71;24,83900267;0;0;5;5,8332;Yes
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;11.10.2020;47;13,4;25,79774896;0;0;5;0,0015;Yes
