Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;11.10.2020;47;13,4;3,990651359;25,79774896;0;5;0,0015
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;31.08.2020;10;12,44;4,110961997;24,671586;0;2;0,333333333
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;13.09.2020;23;13,63;4,223990457;27,77486845;0;3;54,16666667
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;24.09.2020;34;12,25;4,883327987;28,85926125;0;4;16,68
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;04.10.2020;44;11,89;4,263601543;24,45635285;0;5;2,166666667
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;07.10.2020;47;11,13;4,664357842;25,04495479;0;6;3,166666667
Spinus spinus;Rybachy;xj27168;Siskinary;m;Exp_1;1;31.08.2020;10;12,35;3,419409119;20,37282476;0;2;4,733333333
Spinus spinus;Rybachy;xj27171;Siskinary;m;Exp_1;1;04.08.2020;0;10,57;3,389066143;17,2817715;0;1;0
Spinus spinus;Rybachy;xj27171;Siskinary;m;Exp_1;1;01.09.2020;11;11,4;2,360883666;12,98412432;1;2;16,66833333
Spinus spinus;Rybachy;xj27171;Siskinary;m;Exp_1;1;14.09.2020;24;9,78;4,05167211;19,11641161;0;3;90
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;04.08.2020;0;12,31;3,658805858;21,72854496;0;1;0
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;31.08.2020;10;12,72;3,265721053;20,04007875;0;2;0,336666667
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;14.09.2020;24;13,31;3,729730772;23,94907618;0;3;0,1
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;24.09.2020;34;13,03;3,867853201;24,31350803;0;4;0,136666667
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;04.10.2020;44;13,44;3,33799049;21,64300651;0;5;0,04
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;07.10.2020;47;13,21;3,843755425;24,49580917;0;6;0,085
Spinus spinus;Rybachy;xj27181;Siskinary;m;Exp_2;1;23.08.2020;0;14,17;4,078924144;27,8835911;0;1;0
Spinus spinus;Rybachy;xj27181;Siskinary;m;Exp_2;1;05.09.2020;11;13,5;3,857156558;25,12084603;0;2;1,425
Spinus spinus;Rybachy;xj27181;Siskinary;m;Exp_2;1;13.09.2020;19;10,07;3,867211767;18,78713912;0;3;12
