"Year","Season","Bank","Sample","L","Status","Number_of_crushed"
1996,"August","vor4","5",7,"alive",NA
1996,"August","vor4","5",4,"alive",NA
1996,"August","vor4","5",6,"alive",NA
1996,"August","vor4","5",7,"alive",NA
1996,"August","vor4","5",19,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",24,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",27,"alive",NA
1996,"August","vor4","5",21,"alive",NA
1996,"August","vor4","5",21,"alive",NA
1996,"August","vor4","5",16,"alive",NA
1996,"August","vor4","5",15,"alive",NA
1996,"August","vor4","5",14,"alive",NA
1996,"August","vor4","5",14,"alive",NA
1996,"August","vor4","5",15,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",11,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",9,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",8,"alive",NA
1996,"August","vor4","5",7,"alive",NA
1996,"August","vor4","5",6,"alive",NA
1996,"August","vor4","5",4,"alive",NA
1996,"August","vor4","5",7,"alive",NA
1996,"August","vor4","5",2,"alive",NA
1996,"August","vor4","5",2,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",14,"alive",NA
1996,"August","vor4","5",26,"alive",NA
1996,"August","vor4","5",17,"alive",NA
1996,"August","vor4","5",19,"alive",NA
1996,"August","vor4","5",17,"alive",NA
1996,"August","vor4","5",17,"alive",NA
1996,"August","vor4","5",16,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",14,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",14,"alive",NA
1996,"August","vor4","5",13,"alive",NA
1996,"August","vor4","5",11,"alive",NA
1996,"August","vor4","5",10,"alive",NA
