species,lon,lat,Status
Acanthocyclops robustus,5.118225,60.572345,PNIS
Acanthocyclops robustus,17.396408,69.251684,PNIS
Acanthocyclops robustus,8.843124,62.269768,PNIS
Acanthocyclops robustus,6.084484,58.673933,PNIS
Acanthocyclops robustus,5.252125,60.897437,PNIS
Acanthocyclops robustus,7.699826,58.949899,PNIS
Acanthocyclops robustus,6.2855,60.622,PNIS
Acanthocyclops robustus,6.3751,60.618393,PNIS
Acanthocyclops robustus,8.112388,62.628944,PNIS
Acanthocyclops robustus,6.554016,58.449703,PNIS
Acanthocyclops robustus,6.623411,58.357985,PNIS
Acanthocyclops robustus,6.388446,60.618335,PNIS
Acanthocyclops robustus,6.419406,60.623685,PNIS
Acanthocyclops robustus,7.785284,58.744264,PNIS
Acanthocyclops robustus,7.737432,58.863498,PNIS
Acanthocyclops robustus,6.495274,58.310589,PNIS
Acanthocyclops robustus,11.206914,59.739658,PNIS
Acanthocyclops robustus,6.423154,61.936461,PNIS
Acanthocyclops robustus,7.817739,58.793994,PNIS
Acanthocyclops robustus,10.698659,60.870579,PNIS
Acanthocyclops robustus,11.125587,59.849859,PNIS
Acanthocyclops robustus,11.218323,59.846295,PNIS
Acanthocyclops robustus,11.243656,59.771986,PNIS
Acanthocyclops robustus,11.256939,59.73108,PNIS
Acanthocyclops robustus,11.077976,60.758313,PNIS
Acanthocyclops robustus,11.206353,60.595043,PNIS
Acanthocyclops robustus,11.2216,59.67,PNIS
Acanthocyclops robustus,10.436604,61.109971,PNIS
Acanthocyclops robustus,12.271809,64.797553,PNIS
Acanthocyclops robustus,10.663421,60.96065,PNIS
Acanthocyclops robustus,12.271403,64.797028,PNIS
Acanthocyclops robustus,11.687233,59.109919,PNIS
Acanthocyclops robustus,10.899346,60.871846,PNIS
Acanthocyclops robustus,11.209875,63.623186,PNIS
Acanthocyclops robustus,12.246764,64.585304,PNIS
Acanthocyclops robustus,6.04326,59.56265,PNIS
Acanthocyclops robustus,6.033095,61.432649,PNIS
Acanthocyclops robustus,6.02299,59.54655,PNIS
Acanthocyclops robustus,28.072723,70.414895,PNIS
Acanthocyclops robustus,28.064407,70.406678,PNIS
Acanthocyclops robustus,8.7246,59.830611,PNIS
Acanthocyclops robustus,8.150257,62.527344,PNIS
Acanthocyclops robustus,8.143202,62.492785,PNIS
Acanthocyclops robustus,7.705206,58.881559,PNIS
Acanthocyclops robustus,6.620638,58.406787,PNIS
Acanthocyclops robustus,6.556444,58.421417,PNIS
Acanthocyclops robustus,7.777771,58.787481,PNIS
Acanthocyclops robustus,6.601369,58.439919,PNIS
Acanthocyclops robustus,8.177382,62.571244,PNIS
Acanthocyclops robustus,6.590765,58.389503,PNIS
Acanthocyclops robustus,7.816642,58.699816,PNIS
Acanthocyclops robustus,7.733684,58.894442,PNIS
Acanthocyclops robustus,8.146368,62.568005,PNIS
Acanthocyclops robustus,6.568899,58.326353,PNIS
Acanthocyclops robustus,11.165702,59.901218,PNIS
Acanthocyclops robustus,7.529234,62.817366,PNIS
Acanthocyclops robustus,8.170616,62.617696,PNIS
Acanthocyclops robustus,8.17664,62.481313,PNIS
Acanthocyclops robustus,8.16981,62.510291,PNIS
Acanthocyclops robustus,6.359014,60.604346,PNIS
Acanthocyclops robustus,7.785311,58.680121,PNIS
Acanthocyclops robustus,7.76598,58.812197,PNIS
Acanthocyclops robustus,11.1176,59.8904,PNIS
Acanthocyclops robustus,6.467041,61.343842,PNIS
Acanthocyclops robustus,8.44728,58.518498,PNIS
Acanthocyclops robustus,11.64322,64.13154,PNIS
Acanthocyclops robustus,12.160272,64.236958,PNIS
Acanthocyclops robustus,11.709169,64.676402,PNIS
Acanthocyclops robustus,11.745728,64.131744,PNIS
Acanthocyclops robustus,11.978313,64.163472,PNIS
Acanthocyclops robustus,11.0414,63.24131,PNIS
Acanthocyclops robustus,11.929081,62.006731,PNIS
Acanthocyclops robustus,10.041435,59.9954,PNIS
Acanthocyclops robustus,10.266041,59.977245,PNIS
Acanthocyclops robustus,10.168561,60.079123,PNIS
Acanthocyclops robustus,10.06076,60.043191,PNIS
Acanthocyclops robustus,10.162507,60.014215,PNIS
Acanthocyclops robustus,10.256193,60.072279,PNIS
Acanthocyclops robustus,10.308709,59.898323,PNIS
