scientificname,authority,kingdom,phylum,class,order,family,genus
Thermocyclops dybowskii,"(Lande, 1890)",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Thermocyclops
Thermocyclops oithonoides,"(Sars G.O., 1863)",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Thermocyclops
Trichocerca capucina,"(Wierzejski & Zacharias, 1893)",Animalia,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca
Trichocerca porcellus,"(Gosse, 1851)",Animalia,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca
Daphnia galeata,"G.O. Sars, 1863",Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia
Daphnia hyalina,"Leydig, 1860",Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia
Daphnia longiremis,"G.O. Sars, 1861",Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia
Diaphanosoma brachyurum,"(Lievin, 1848)",Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma
Diaphanosoma leuchtenbergianum,"Fischer, 1850",Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma
Eucyclops serrulatus,"(Fischer, 1851)",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Eucyclops
Cyclops serrulatus,"Fischer, 1851",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Cyclops
Eurytemora gracilis,"(Sars G.O., 1898)",Animalia,Arthropoda,Hexanauplia,Calanoida,Temoridae,Eurytemora
Megacyclops viridis,"(Jurine, 1820)",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Megacyclops
Mesochra lilljeborgii,"Boeck, 1865",Animalia,Arthropoda,Hexanauplia,Harpacticoida,Canthocamptidae,Mesochra
Notholca caudata,"Carlin, 1943",Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Notholca
Paracalanus parvus,"(Claus, 1863)",Animalia,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus
Paracyclops fimbriatus,"(Fischer, 1853)",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Paracyclops
Cyclops fimbriatus,"Fischer, 1853",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Cyclops
Podon leuckarti,"(G.O. Sars, 1862)",Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Podon
Beroe ovata,"Bruguiere, 1789",Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe
Mnemiopsis leidyi,"A. Agassiz, 1865",Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Mnemiopsis
Oithona davisae,"Ferrari F.D. & Orsi, 1984",Animalia,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona
Cercopagis pengoi,"(Ostroumov, 1891)",Animalia,Arthropoda,Branchiopoda,Onychopoda,Cercopagididae,Cercopagis
Paramysis intermedia,"(Czerniavsky, 1882)",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Paramysis
Paramysis lacustris,"(Czerniavsky, 1882)",Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Paramysis
Bosmina coregoni,"Baird, 1857",Animalia,Arthropoda,Branchiopoda,Anomopoda,Bosminidae,Bosmina
Bosmina longirostris,"(O.F.Muller, 1776)",Animalia,Arthropoda,Branchiopoda,Anomopoda,Bosminidae,Bosmina
Eurycercus glacialis,"Lilljeborg, 1887",Animalia,Arthropoda,Branchiopoda,Anomopoda,Eurycercidae,Eurycercus
Synchaeta grandis,"Zacharias, 1893",Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta
Acartia bifilosa,"(Giesbrecht, 1881)",Animalia,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia
Prorocentrum cordatum,"(Ostenfeld) J.D.Dodge, 1976",Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum
