"","species","Lat","Lon"
"375","Daphnia galeata",69.381151,21.535354
"376","Daphnia galeata",69.198528,22.422179
"377","Daphnia galeata",69.05917,22.157736
"378","Daphnia galeata",69.113062,19.085293
"379","Daphnia galeata",51.329042,5.002744
"380","Daphnia galeata",51.33756,5.039364
"381","Daphnia galeata",51.326776,5.006519
"382","Daphnia galeata",49.985337,4.27473
"383","Daphnia galeata",49.980291,4.286034
"384","Daphnia galeata",49.9792,4.255487
"385","Daphnia galeata",50.156517,4.175603
"386","Daphnia galeata",50.145434,4.20417
"387","Daphnia galeata",50.151284,4.180586
"388","Daphnia galeata",50.652201,5.945349
"389","Daphnia galeata",50.665236,5.931735
"390","Daphnia galeata",50.667922,5.921463
"391","Daphnia galeata",49.918418,5.281702
"392","Daphnia galeata",49.905335,5.360769
"393","Daphnia galeata",49.930755,5.298611
"394","Daphnia galeata",50.149534,4.883852
"395","Daphnia galeata",50.148162,4.890461
"396","Daphnia galeata",50.140616,4.901958
"397","Daphnia galeata",50.153743,5.106332
"398","Daphnia galeata",50.120151,5.029935
"399","Daphnia galeata",50.132834,5.069185
"400","Daphnia galeata",49.971534,4.959069
"401","Daphnia galeata",49.988951,4.952686
"402","Daphnia galeata",49.984718,4.937819
"403","Daphnia galeata",50.431235,4.80767
"404","Daphnia galeata",50.433475,4.777561
"405","Daphnia galeata",50.425617,4.803824
"406","Daphnia galeata",50.284,4.553286
"407","Daphnia galeata",50.275284,4.584552
"408","Daphnia galeata",50.258034,4.527652
"409","Daphnia galeata",50.420496,5.143366
"410","Daphnia galeata",50.400606,5.103984
"411","Daphnia galeata",50.415099,5.134147
"412","Daphnia galeata",50.806269,3.888544
"413","Daphnia galeata",50.806475,3.892633
"414","Daphnia galeata",50.808032,3.887152
"415","Daphnia galeata",50.958002,4.022643
"416","Daphnia galeata",50.9794,4.00982
"417","Daphnia galeata",50.971321,4.005204
"418","Daphnia galeata",50.874472,3.792557
"419","Daphnia galeata",50.897257,3.761812
"420","Daphnia galeata",50.877455,3.784542
"421","Daphnia galeata",50.949657,4.972944
"422","Daphnia galeata",50.960088,4.972359
"423","Daphnia galeata",50.95769,5.022411
"424","Daphnia galeata",50.904812,4.945653
"425","Daphnia galeata",50.92084,4.951027
"426","Daphnia galeata",50.941553,4.935736
"427","Daphnia galeata",50.952833,4.453758
"428","Daphnia galeata",50.951408,4.453315
"429","Daphnia galeata",50.990143,4.475783
"430","Daphnia galeata",50.984452,2.847412
"431","Daphnia galeata",51.005445,2.858588
"432","Daphnia galeata",50.98538,2.866943
"433","Daphnia galeata",50.827131,2.962029
"434","Daphnia galeata",50.848866,2.925822
"435","Daphnia galeata",50.823477,2.95563
"436","Daphnia galeata",51.138314,3.317889
"437","Daphnia galeata",51.173505,3.301126
"438","Daphnia galeata",51.156001,3.255109
"439","Daphnia galeata",46.1019,-81.5517
"440","Daphnia galeata",46.1006,-81.5517
"441","Daphnia galeata",46.1017,-81.5844
"442","Daphnia galeata",52.046427,4.324715
"443","Daphnia galeata",63.25235,10.51161
"444","Daphnia galeata",63.241094,10.989453
"445","Daphnia galeata",53.190091,6.544611
"446","Daphnia galeata",53.245871,6.951219
"447","Daphnia galeata",51.695719,4.934193
"448","Daphnia galeata",51.682623,4.875183
"449","Daphnia galeata",52.054713,4.458457
"450","Daphnia galeata",63.40636,11.74488
"451","Daphnia galeata",51.871986,4.230175
"452","Daphnia galeata",60.516489,8.566034
"453","Daphnia galeata",60.518205,8.556673
"454","Daphnia galeata",62.950948,12.117791
"455","Daphnia galeata",60.445168,10.223793
"456","Daphnia galeata",53.264949,6.804344
"457","Daphnia galeata",51.846714,4.378892
"458","Daphnia galeata",51.623784,4.843499
"459","Daphnia galeata",26.239806,-98.927
"460","Daphnia galeata",52.331854,4.81798
"461","Daphnia galeata",52.191758,4.515933
"462","Daphnia galeata",52.35555,4.638005
"463","Daphnia galeata",52.201789,4.488396
"464","Daphnia galeata",63.378475,10.404134
"465","Daphnia galeata",54.058333,-124.619667
"466","Daphnia galeata",52.149669,4.537313
"467","Daphnia galeata",52.298919,4.649794
"468","Daphnia galeata",53.176819,6.4237
"469","Daphnia galeata",63.376661,10.406046
"470","Daphnia galeata",63.095657,9.802206
"471","Daphnia galeata",63.279124,10.465089
"472","Daphnia galeata",63.319781,10.439205
"473","Daphnia galeata",63.283548,10.471295
"474","Daphnia galeata",63.105416,9.82229
"475","Daphnia galeata",65.164936,12.883002
"476","Daphnia galeata",63.379431,10.39818
"477","Daphnia galeata",51.703019,4.729563
"478","Daphnia galeata",53.120036,5.923945
"479","Daphnia galeata",53.129001,5.906114
"480","Daphnia galeata",53.131193,5.906424
"481","Daphnia galeata",53.121418,5.924202
"482","Daphnia galeata",51.801849,4.52294
"483","Daphnia galeata",53.10958,5.938839
"484","Daphnia galeata",53.110839,5.944604
"485","Daphnia galeata",63.225839,11.710325
"486","Daphnia galeata",63.232379,11.696999
"487","Daphnia galeata",63.192766,11.748991
"488","Daphnia galeata",63.207262,11.742409
"489","Daphnia galeata",63.216456,11.731339
"490","Daphnia galeata",63.205334,11.702438
"491","Daphnia galeata",26.239833,-98.927028
"492","Daphnia galeata",52.918389,6.054768
"493","Daphnia galeata",52.835734,5.905553
"494","Daphnia galeata",53.02876,5.924726
"495","Daphnia galeata",52.849112,5.916459
"496","Daphnia galeata",53.123954,6.701055
"497","Daphnia galeata",53.118573,5.93731
"498","Daphnia galeata",53.128271,5.887789
"499","Daphnia galeata",53.246907,5.971902
"500","Daphnia galeata",52.821047,5.901937
"501","Daphnia galeata",63.626052,11.203394
"502","Daphnia galeata",63.633033,11.157502
"503","Daphnia galeata",51.867456,5.055778
"504","Daphnia galeata",62.58475,10.129034
"505","Daphnia galeata",51.908896,5.867941
"506","Daphnia galeata",51.967746,5.875848
"507","Daphnia galeata",51.83828,5.962372
"508","Daphnia galeata",62.542335,10.156587
"509","Daphnia galeata",52.839212,5.890753
"510","Daphnia galeata",53.290824,5.898117
"511","Daphnia galeata",53.022785,5.91641
"512","Daphnia galeata",53.016807,5.892153
"513","Daphnia galeata",53.126723,5.92352
"514","Daphnia galeata",53.104606,5.964757
"515","Daphnia galeata",52.876106,5.892189
"516","Daphnia galeata",53.023942,5.904695
"517","Daphnia galeata",53.214636,5.874014
"518","Daphnia galeata",53.274213,6.841304
"519","Daphnia galeata",52.557923,4.753131
"520","Daphnia galeata",52.687067,4.769459
"521","Daphnia galeata",52.136895,4.68316
"522","Daphnia galeata",52.328269,4.671033
"523","Daphnia galeata",52.325588,4.67357
"524","Daphnia galeata",53.09395,5.852954
"525","Daphnia galeata",53.034094,5.751987
"526","Daphnia galeata",51.920811,5.994828
"527","Daphnia galeata",53.10258,5.974733
"528","Daphnia galeata",53.102592,5.972195
"529","Daphnia galeata",53.097211,5.970182
"530","Daphnia galeata",53.096895,5.979583
"531","Daphnia galeata",52.950936,5.863923
"532","Daphnia galeata",51.872952,5.063825
"533","Daphnia galeata",63.348093,10.77245
"534","Daphnia galeata",63.330127,10.773342
"535","Daphnia galeata",63.32923,10.773287
"536","Daphnia galeata",53.131677,5.906654
"537","Daphnia galeata",53.238865,6.065706
"538","Daphnia galeata",53.015953,5.894363
"539","Daphnia galeata",51.488578,4.262688
"540","Daphnia galeata",53.189746,6.04369
"541","Daphnia galeata",53.021859,5.932659
"542","Daphnia galeata",53.029176,5.926073
"543","Daphnia galeata",53.060847,6.169727
"544","Daphnia galeata",53.205137,5.987351
"545","Daphnia galeata",53.051793,5.752881
"546","Daphnia galeata",53.025439,5.929887
"547","Daphnia galeata",51.919006,5.996257
