Day,Month,Year,Day of year,OITO_F_1,OITO_F_2,OITO_F_3,OITO_F_25,OITO_M_1,OITO_M_2,OITO_M_3,OITO_M_25,OITO_C_1,OITO_C_2,OITO_C_3,OITO_C_25,OITO_J_1,OITO_J_2,OITO_J_3,OITO_1,OITO_2,OITO_3,OITO_25,MIC_A_1,MIC_A_2,MIC_A_3,MIC_A_25,MIC_C_1,MIC_C_2,MIC_C_3,MIC_C_25,MIC_J_1,MIC_N0_J_2,MIC_J_3,MIC_J_25,MIC_N_1,MIC_N_2,MIC_N_3,MIC_N_25,MIC_1,MIC_2,MIC_3,MIC_25
23,5,1963,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,5,1963,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,6,1963,160,1000,33,0,420,250,33,0,120,350,0,0,140,750,33,0,2350,99,0,999,600,1,1,241,600,67,14,280,0,0,0,0,0,0,0,0,1200,68,15,521
NA,NA,1963,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,6,1963,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,1963,190,2700,1470,26,1962,450,234,0,320,4600,1200,91,2560,2900,1000,326,10650,3904,443,6602,0,0,0,0,150,200,13,180,0,0,0,0,300,34,26,140,450,234,39,320
20,7,1963,200,1800,100,27,780,500,33,0,220,5300,134,14,2200,500,33,14,8100,300,55,3420,100,0,0,40,100,33,1,60,0,0,0,0,50,0,0,20,250,33,1,120
31,7,1963,210,5400,800,0,2640,1300,0,0,520,24600,1700,0,10860,0,0,0,31300,2500,0,14020,50,0,0,20,100,20,0,52,50,0,0,20,0,0,0,0,200,20,0,92
10,8,1963,220,12700,134,366,5160,2700,33,84,1100,22100,502,322,9141,0,0,195,37500,669,967,15401,0,0,0,0,550,134,42,300,0,0,0,0,0,0,0,0,550,134,42,300
16,8,1963,230,700,1600,52,1240,370,267,0,308,2200,4800,78,3760,200,567,26,3470,7234,156,5728,0,0,0,0,150,67,13,100,50,33,0,40,0,0,0,0,200,100,13,140
29,8,1963,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,9,1963,250,5000,458,0,2275,100,0,0,40,32000,4056,127,15234,6000,NA,70,37100,4514,127,17548,0,0,0,0,250,9,35,105,0,0,0,0,0,0,0,0,250,9,35,105
21,9,1963,260,500,867,0,720,0,0,0,0,4500,9300,155,7380,300,200,0,5000,10167,155,8100,0,0,0,0,50,67,5,60,0,0,0,0,0,0,0,0,50,67,5,60
1,10,1963,270,800,67,41,360,1,0,3,0,10000,8300,623,8980,100,33,NA,10801,8367,667,9341,0,0,0,0,300,368,48,341,0,0,0,0,0,0,0,0,300,368,48,341
10,10,1963,280,50,0,0,20,25,0,0,10,6900,500,210,3060,150,0,0,6975,500,210,3090,0,0,0,0,7,3,2,5,0,0,0,0,0,0,0,0,7,3,2,5
19,10,1963,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1963,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,1963,310,50,73,0,64,2,0,0,1,2050,6000,52,4420,0,33,0,2102,6073,52,4485,0,0,0,0,50,400,247,260,0,0,0,0,0,0,0,0,50,400,247,260
22,11,1963,320,0,100,37,60,0,1,0,1,1100,11000,2400,7040,0,0,0,1100,11101,2437,7101,0,0,0,0,23,33,0,29,0,0,0,0,0,0,0,0,23,33,0,29
2,12,1963,330,34,67,0,54,1,0,1,0,1546,2620,915,2190,NA,0,0,1581,2687,916,2245,0,0,0,0,5,134,27,82,0,0,0,0,0,0,0,0,5,134,27,82
11,12,1963,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1963,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,12,1963,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1964,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1964,20,0,0,0,0,0,0,0,0,100,1300,101,820,NA,NA,NA,100,1300,101,820,0,0,0,0,50,67,14,60,0,0,0,0,0,0,0,0,50,67,14,60
31,1,1964,30,0,0,13,0,0,0,0,0,2800,1540,68,2044,NA,NA,NA,2800,1540,81,2044,0,0,0,0,50,67,13,60,0,0,0,0,0,0,0,0,50,67,13,60
10,2,1964,40,0,0,0,0,0,0,0,0,650,2040,13,1484,NA,NA,NA,650,2040,13,1484,0,0,0,0,50,100,54,80,0,0,0,0,0,0,0,0,50,100,54,80
20,2,1964,50,0,0,13,0,0,0,0,0,1550,960,26,1196,NA,NA,NA,1550,960,39,1196,0,0,0,0,50,71,90,63,0,0,0,0,0,0,0,0,50,71,90,63
3,3,1964,60,50,67,13,60,0,0,0,0,600,740,13,684,NA,NA,NA,650,807,26,744,0,0,0,0,50,67,13,60,0,0,0,0,0,0,0,0,50,67,13,60
11,3,1964,70,0,0,0,0,0,0,0,0,300,600,13,480,NA,NA,NA,300,600,13,480,0,0,0,0,200,100,26,140,0,0,0,0,0,0,0,0,200,100,26,140
21,3,1964,80,0,0,0,0,0,0,0,0,1000,770,0,862,NA,NA,NA,1000,770,0,862,0,0,0,0,200,33,40,100,0,0,0,0,0,0,0,0,200,33,40,100
