"long","lat","order","hole","piece","id","group"
151,59.567917,273,FALSE,"1","0","0.1"
150.993333,59.567889,274,FALSE,"1","0","0.1"
150.991694,59.568722,275,FALSE,"1","0","0.1"
150.990028,59.56875,276,FALSE,"1","0","0.1"
150.988278,59.567861,277,FALSE,"1","0","0.1"
150.985028,59.567917,278,FALSE,"1","0","0.1"
150.981667,59.566222,279,FALSE,"1","0","0.1"
150.979944,59.566194,280,FALSE,"1","0","0.1"
150.978306,59.565417,281,FALSE,"1","0","0.1"
150.974917,59.565389,282,FALSE,"1","0","0.1"
150.973333,59.564556,283,FALSE,"1","0","0.1"
150.970028,59.564556,284,FALSE,"1","0","0.1"
150.968306,59.563722,285,FALSE,"1","0","0.1"
150.966611,59.563694,286,FALSE,"1","0","0.1"
150.960056,59.560417,287,FALSE,"1","0","0.1"
150.958361,59.560389,288,FALSE,"1","0","0.1"
150.956611,59.559556,289,FALSE,"1","0","0.1"
150.948306,59.559556,290,FALSE,"1","0","0.1"
150.946694,59.558722,291,FALSE,"1","0","0.1"
150.944972,59.55875,292,FALSE,"1","0","0.1"
150.943333,59.557861,293,FALSE,"1","0","0.1"
150.939972,59.557861,294,FALSE,"1","0","0.1"
150.938361,59.557056,295,FALSE,"1","0","0.1"
150.928333,59.557056,296,FALSE,"1","0","0.1"
150.922417,59.56,297,FALSE,"1","0","0.1"
150.922472,59.560778,298,FALSE,"1","0","0.1"
150.920861,59.561611,299,FALSE,"1","0","0.1"
150.920833,59.562472,300,FALSE,"1","0","0.1"
150.915,59.565417,301,FALSE,"1","0","0.1"
150.913306,59.564583,302,FALSE,"1","0","0.1"
150.911722,59.564556,303,FALSE,"1","0","0.1"
150.906667,59.562083,304,FALSE,"1","0","0.1"
150.905,59.562056,305,FALSE,"1","0","0.1"
150.900889,59.56,306,FALSE,"1","0","0.1"
150.900778,59.559139,307,FALSE,"1","0","0.1"
150.899167,59.558306,308,FALSE,"1","0","0.1"
150.899194,59.5575,309,FALSE,"1","0","0.1"
150.8975,59.556639,310,FALSE,"1","0","0.1"
150.8975,59.554972,311,FALSE,"1","0","0.1"
150.895806,59.554139,312,FALSE,"1","0","0.1"
150.895806,59.5525,313,FALSE,"1","0","0.1"
150.892583,59.550778,314,FALSE,"1","0","0.1"
150.892528,59.549972,315,FALSE,"1","0","0.1"
150.890861,59.549167,316,FALSE,"1","0","0.1"
150.89075,59.543333,317,FALSE,"1","0","0.1"
150.892528,59.542528,318,FALSE,"1","0","0.1"
150.892444,59.541667,319,FALSE,"1","0","0.1"
150.894167,59.540833,320,FALSE,"1","0","0.1"
150.894111,59.539972,321,FALSE,"1","0","0.1"
150.8975,59.538306,322,FALSE,"1","0","0.1"
150.897528,59.537472,323,FALSE,"1","0","0.1"
150.899167,59.536639,324,FALSE,"1","0","0.1"
150.899167,59.534972,325,FALSE,"1","0","0.1"
150.900778,59.534139,326,FALSE,"1","0","0.1"
150.900861,59.533306,327,FALSE,"1","0","0.1"
150.908361,59.529583,328,FALSE,"1","0","0.1"
150.910028,59.529556,329,FALSE,"1","0","0.1"
150.910861,59.529167,330,FALSE,"1","0","0.1"
150.910833,59.528333,331,FALSE,"1","0","0.1"
150.919167,59.524167,332,FALSE,"1","0","0.1"
150.919194,59.523306,333,FALSE,"1","0","0.1"
150.92,59.522944,334,FALSE,"1","0","0.1"
150.921667,59.522917,335,FALSE,"1","0","0.1"
150.923306,59.522083,336,FALSE,"1","0","0.1"
150.925028,59.522028,337,FALSE,"1","0","0.1"
150.926722,59.521222,338,FALSE,"1","0","0.1"
150.93,59.521222,339,FALSE,"1","0","0.1"
150.931583,59.520389,340,FALSE,"1","0","0.1"
150.933278,59.520417,341,FALSE,"1","0","0.1"
150.936667,59.522056,342,FALSE,"1","0","0.1"
150.941611,59.522083,343,FALSE,"1","0","0.1"
150.944194,59.520806,344,FALSE,"1","0","0.1"
150.944111,59.5175,345,FALSE,"1","0","0.1"
150.940861,59.515778,346,FALSE,"1","0","0.1"
150.940722,59.514139,347,FALSE,"1","0","0.1"
150.939111,59.513306,348,FALSE,"1","0","0.1"
150.939167,59.512444,349,FALSE,"1","0","0.1"
150.937528,59.511639,350,FALSE,"1","0","0.1"
150.937528,59.509972,351,FALSE,"1","0","0.1"
150.935889,59.509139,352,FALSE,"1","0","0.1"
150.93575,59.5075,353,FALSE,"1","0","0.1"
150.934139,59.506611,354,FALSE,"1","0","0.1"
150.934167,59.505806,355,FALSE,"1","0","0.1"
150.929972,59.50375,356,FALSE,"1","0","0.1"
150.925028,59.503722,357,FALSE,"1","0","0.1"
150.921639,59.502083,358,FALSE,"1","0","0.1"
150.919944,59.502056,359,FALSE,"1","0","0.1"
150.918306,59.501222,360,FALSE,"1","0","0.1"
150.916667,59.501194,361,FALSE,"1","0","0.1"
150.915861,59.500806,362,FALSE,"1","0","0.1"
150.915861,59.499139,363,FALSE,"1","0","0.1"
150.918389,59.497917,364,FALSE,"1","0","0.1"
150.921667,59.497861,365,FALSE,"1","0","0.1"
150.922444,59.497472,366,FALSE,"1","0","0.1"
150.922528,59.496667,367,FALSE,"1","0","0.1"
150.92,59.495389,368,FALSE,"1","0","0.1"
150.914972,59.495361,369,FALSE,"1","0","0.1"
150.913333,59.494583,370,FALSE,"1","0","0.1"
150.911639,59.494556,371,FALSE,"1","0","0.1"
150.909139,59.493333,372,FALSE,"1","0","0.1"
150.909167,59.490806,373,FALSE,"1","0","0.1"
150.910833,59.49,374,FALSE,"1","0","0.1"
150.910861,59.489139,375,FALSE,"1","0","0.1"
150.915028,59.487083,376,FALSE,"1","0","0.1"
150.931639,59.487056,377,FALSE,"1","0","0.1"
150.933389,59.48625,378,FALSE,"1","0","0.1"
150.938333,59.48625,379,FALSE,"1","0","0.1"
150.940028,59.485444,380,FALSE,"1","0","0.1"
150.943306,59.485361,381,FALSE,"1","0","0.1"
150.945,59.484528,382,FALSE,"1","0","0.1"
150.948278,59.484583,383,FALSE,"1","0","0.1"
