sea,place,pop,pop_sub,substrate,horizont,year,str,size,age,ind,freq_MT,freq_MT_substrate,dist,sal_low
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,36.1,9,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.026,33.6,9,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,41.7,10,1,0.6,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.952,25.7,4,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.025,20.2,4,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.816,35.3,5,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.977,31.6,5,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.964,26.7,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.98,32.4,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.98,35.4,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.977,36.2,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.791,25.9,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.204,36.9,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.41,34,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.024,39.9,5,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.034,34.7,5,0,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.977,35.1,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.979,35.7,6,1,0.48,0.57,52,25
barents,tyuva,seredina_sub,tssb,bottom,subtidal,2012,0.977,38.1,6,1,0.48,0.57,52,25
