Place,Sea,Year,Date,Number,L,a,l
Lim,Baltic Sea,1988,29.02.88,59,NA,10.3,11.1
Lim,Baltic Sea,1988,29.02.88,40,NA,5.6,7.6
Lim,Baltic Sea,1988,29.02.88,55,NA,5.7,9.1
Lim,Baltic Sea,1988,29.02.88,39,NA,7.2,8.9
Lim,Baltic Sea,1988,29.02.88,43,NA,8.4,8.4
Lim,Baltic Sea,1988,29.02.88,41,NA,8.5,8.7
Lim,Baltic Sea,1988,29.02.88,37,NA,5.2,8.5
Lim,Baltic Sea,1988,29.02.88,31,NA,6.4,7.9
Lim,Baltic Sea,1988,29.02.88,58,NA,7.3,7.6
Lim,Baltic Sea,1988,29.02.88,52,NA,4.3,6.5
Lim,Baltic Sea,1988,29.02.88,53,NA,6.3,7.5
Lim,Baltic Sea,1988,29.02.88,49,NA,6,7.6
Lim,Baltic Sea,1988,29.02.88,38,NA,3.6,8.3
Lim,Baltic Sea,1988,29.02.88,45,NA,5.1,7.5
Lim,Baltic Sea,1988,29.02.88,47,NA,4.9,6.3
Lim,Baltic Sea,1988,29.02.88,48,NA,4.9,7.2
Lim,Baltic Sea,1988,29.02.88,50,NA,4,6.4
Lim,Baltic Sea,1988,29.02.88,46,NA,5.5,6
Lim,Baltic Sea,1988,29.02.88,32,NA,4.1,6.5
Lim,Baltic Sea,1988,04.03.88,28,NA,6.1,9.5
Lim,Baltic Sea,1988,04.03.88,4,NA,6.4,7.2
Lim,Baltic Sea,1988,04.03.88,25,NA,5.6,8.5
Lim,Baltic Sea,1988,04.03.88,30,NA,9.2,9.2
Lim,Baltic Sea,1988,04.03.88,27,NA,4.9,9.6
Lim,Baltic Sea,1988,04.03.88,26,NA,4.7,8.5
Lim,Baltic Sea,1988,04.03.88,21,NA,8.5,8.7
Lim,Baltic Sea,1988,04.03.88,24,NA,5.3,7.6
Lim,Baltic Sea,1988,04.03.88,22,NA,8.9,10
Lim,Baltic Sea,1988,04.03.88,5,NA,7.6,8
Lim,Baltic Sea,1988,04.03.88,15,NA,6.4,8.1
Lim,Baltic Sea,1988,04.03.88,9,NA,5.6,7.3
Lim,Baltic Sea,1988,04.03.88,30,NA,9.3,9.3
Lim,Baltic Sea,1988,04.03.88,13,NA,6.1,7.6
Lim,Baltic Sea,1988,04.03.88,12,NA,8.4,8.4
Lim,Baltic Sea,1988,04.03.88,16,NA,4,6.9
Lim,Baltic Sea,1988,04.03.88,20,NA,6.3,7.2
Lim,Baltic Sea,1988,04.03.88,6,NA,6.8,6.8
Lim,Baltic Sea,1988,04.03.88,14,NA,8.4,8.4
Lim,Baltic Sea,1988,04.03.88,29,NA,9.1,9.1
Lim,Baltic Sea,1988,04.03.88,19,NA,8,8.3
Lim,Baltic Sea,1988,04.03.88,17,NA,8.9,8.9
Lim,Baltic Sea,1988,04.03.88,18,NA,4.5,9.3
Lim,Baltic Sea,1988,04.03.88,23,NA,4.5,8.3
Lim,Baltic Sea,1988,04.03.88,8,NA,6,8.1
Lim,Baltic Sea,1988,04.03.88,7,NA,5.1,7.2
Lim,Baltic Sea,1988,04.03.88,1,NA,3.5,5.2
Lim,Baltic Sea,1988,04.03.88,11,NA,3.3,7.1
Lim,Baltic Sea,1988,04.03.88,10,NA,6.9,7.2
Lim,Baltic Sea,1988,04.03.88,2,NA,4.1,5.7
Lim,Baltic Sea,1988,04.03.88,3,NA,4.8,5.3
Lim,Baltic Sea,1988,04.03.88,53,NA,7.3,9.6
Lim,Baltic Sea,1988,04.03.88,59,NA,0,10.3
Lim,Baltic Sea,1988,04.03.88,51,NA,6.7,8.3
Lim,Baltic Sea,1988,04.03.88,60,NA,10.8,10.8
Lim,Baltic Sea,1988,04.03.88,40,NA,9.2,9.5
Lim,Baltic Sea,1988,04.03.88,34,NA,8.1,8.1
Lim,Baltic Sea,1988,04.03.88,47,NA,7.6,9.7
Lim,Baltic Sea,1988,04.03.88,44,NA,10.1,10.5
Lim,Baltic Sea,1988,04.03.88,52,NA,10.4,10.5
Lim,Baltic Sea,1988,04.03.88,57,NA,9.2,10.3
Lim,Baltic Sea,1988,04.03.88,49,NA,7.3,9.7
Lim,Baltic Sea,1988,04.03.88,54,NA,7.7,11.3
Lim,Baltic Sea,1988,04.03.88,38,NA,8.3,8.3
Lim,Baltic Sea,1988,04.03.88,35,NA,6.1,8.9
Lim,Baltic Sea,1988,04.03.88,43,NA,8.8,9.2
Lim,Baltic Sea,1988,04.03.88,48,NA,7.5,11.2
Lim,Baltic Sea,1988,04.03.88,58,NA,8.3,11.3
Lim,Baltic Sea,1988,04.03.88,45,NA,9.7,10.1
Lim,Baltic Sea,1988,04.03.88,50,NA,7.3,10.5
Lim,Baltic Sea,1988,04.03.88,41,NA,7.2,10
Lim,Baltic Sea,1988,04.03.88,55,NA,7.5,10.3
Lim,Baltic Sea,1988,04.03.88,55,NA,9.1,10.4
Lim,Baltic Sea,1988,04.03.88,42,NA,7.3,8.9
Lim,Baltic Sea,1988,04.03.88,36,NA,7.2,10.3
Lim,Baltic Sea,1988,04.03.88,56,NA,0,10
Lim,Baltic Sea,1988,04.03.88,31,NA,7.9,8.7
Lim,Baltic Sea,1988,04.03.88,32,NA,3.1,8.9
Lim,Baltic Sea,1988,04.03.88,39,NA,6.4,9.1
Lim,Baltic Sea,1988,04.03.88,37,NA,0,8.7
Vhg,Baltic Sea,2005,18.06.05,40,NA,0,6.9
Vhg,Baltic Sea,2005,18.06.05,48,NA,2.3,8.3
Vhg,Baltic Sea,2005,18.06.05,54,NA,12.1,12.7
Vhg,Baltic Sea,2005,18.06.05,52,NA,10.9,10.9
Vhg,Baltic Sea,2005,18.06.05,25,NA,7.7,11.3
Vhg,Baltic Sea,2005,18.06.05,28,NA,9.6,9.7
Vhg,Baltic Sea,2005,18.06.05,51,NA,8.7,10.5
Vhg,Baltic Sea,2005,18.06.05,27,NA,8.9,8.9
Vhg,Baltic Sea,2005,18.06.05,R1,NA,6.1,10.7
Vhg,Baltic Sea,2005,18.06.05,14,NA,6.7,9.3
Vhg,Baltic Sea,2005,18.06.05,23,NA,8,8.5
Vhg,Baltic Sea,2005,18.06.05,7,NA,6.3,7.7
Vhg,Baltic Sea,2005,18.06.05,12,NA,4.7,9.3
Vhg,Baltic Sea,2005,18.06.05,6,NA,6.7,8
Vhg,Baltic Sea,2005,18.06.05,49,NA,7.5,9.3
Vhg,Baltic Sea,2005,18.06.05,21,NA,6.7,8.3
Vhg,Baltic Sea,2005,18.06.05,R2,NA,8.4,11.9
Vhg,Baltic Sea,2005,18.06.05,10,NA,8.7,9.9
Vhg,Baltic Sea,2005,18.06.05,50,NA,7.7,10.8
Vhg,Baltic Sea,2005,18.06.05,53,NA,11.3,11.3
Vhg,Baltic Sea,2005,18.06.05,41,NA,4.8,7.5
Vhg,Baltic Sea,2005,18.06.05,47,NA,8.7,9.1
Vhg,Baltic Sea,2005,18.06.05,42,NA,5.7,8.3
Vhg,Baltic Sea,2005,18.06.05,43,NA,4.7,8.9
Vhg,Baltic Sea,2005,18.06.05,46,NA,10.9,10.7
