Year,Island,Plastic,Plastic_botles,Glass,Polyetilen,Rubber,Paper,Metal,Cans,Textil,Foam_Plastic,Other,
2009,Ряжков,0,0,1,6,0,3,0,0,0,0,0,
2009,Ряжков,0,1,0,4,0,0,0,0,0,3,0,
2009,Ряжков,0,4,0,4,0,0,0,0,0,0,1,
2009,Ряжков,0,3,0,4,0,0,0,0,0,0,1,
2009,Ряжков,0,6,2,14,0,2,0,0,0,2,0,
2009,Ряжков,1,3,1,12,0,0,0,0,0,0,1,
2009,Ряжков,0,1,0,8,0,1,1,0,0,0,0,
2009,Ряжков,1,2,0,9,0,0,0,0,0,0,1,
2009,Ряжков,2,4,1,4,0,2,0,0,0,0,2,
2009,Ряжков,0,0,0,3,0,0,0,0,0,1,0,
2009,Ряжков,0,1,1,3,0,0,0,0,1,2,0,
2009,Ряжков,0,2,0,4,0,1,0,0,0,1,0,
2009,Ряжков,1,1,0,5,0,0,0,0,0,3,0,
2009,Ряжков,1,0,0,3,0,1,0,0,0,0,0,
2009,Ряжков,0,1,0,0,1,0,0,0,0,0,0,
2009,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2009,Ряжков,3,1,1,3,1,0,0,0,0,1,0,
2009,Ряжков,0,2,0,5,0,0,0,0,0,0,0,
2009,Ряжков,0,4,1,4,1,3,0,0,0,1,0,
2009,Ряжков,0,1,0,5,0,1,0,0,0,1,0,
2009,Ряжков,0,2,1,7,0,0,0,0,0,0,0,
2009,Ряжков,2,4,0,9,0,1,0,0,0,0,0,
2009,Ряжков,0,3,0,10,0,0,0,0,0,1,0,
2009,Ряжков,2,3,0,24,0,0,0,0,0,1,0,
2009,Ряжков,3,3,1,20,0,0,0,1,0,1,0,
2009,Ряжков,3,7,8,33,0,0,1,0,0,1,1,
2010,Ряжков,8,2,0,18,0,0,0,0,0,0,5,
2010,Ряжков,6,0,1,43,0,5,0,0,1,0,4,
2010,Ряжков,10,1,0,28,0,3,0,0,1,1,2,
2010,Ряжков,7,0,0,32,0,0,0,0,0,1,0,
2010,Ряжков,8,1,1,11,0,0,7,0,0,4,5,
2010,Ряжков,2,0,0,0,0,0,0,0,0,1,1,
2010,Ряжков,1,0,0,1,0,1,0,0,0,2,0,
2010,Ряжков,0,0,0,3,0,0,0,0,0,0,1,
2010,Ряжков,1,0,0,0,0,0,0,0,0,1,0,
2010,Ряжков,0,0,0,2,0,0,0,0,0,0,0,
2010,Ряжков,1,0,0,0,0,0,0,0,0,0,0,
2010,Ряжков,0,0,0,1,0,0,0,0,0,1,0,
2010,Ряжков,11,0,3,12,0,0,2,0,0,2,0,
2010,Ряжков,9,4,2,16,0,1,1,0,0,1,0,
2010,Ряжков,10,0,4,14,0,1,1,0,1,3,1,
2010,Ряжков,12,2,1,18,0,0,1,0,0,1,0,
2010,Ряжков,14,0,2,13,0,0,0,0,0,4,0,
2010,Ряжков,4,0,0,10,0,0,1,0,0,2,0,
2010,Ряжков,7,2,0,9,2,0,0,0,0,5,0,
2010,Ряжков,6,1,1,6,1,1,1,0,0,3,0,
2010,Ряжков,4,1,0,12,1,0,1,0,0,0,1,
2010,Ряжков,8,1,2,8,1,1,0,0,1,2,0,
2010,Ряжков,3,1,1,10,1,0,0,0,0,4,0,
2010,Ряжков,7,3,0,11,0,1,0,0,0,1,0,
