date,time,Air_T,S,wind,wave,Water_T
02.08.2019,12:00,11.4,24,NW,1,7.54
02.08.2019,18:00,10.4,25,NW,1,7.79
03.08.2019,0:00,7.1,24,NW,0,6.66
03.08.2019,6:00,6.5,21,NW,0,7.22
03.08.2019,12:00,11.1,22,N,1,6.53
03.08.2019,18:00,10.9,20,N,1,7.41
04.08.2019,0:00,7.4,26,N,1,6.79
04.08.2019,6:00,6.8,23,N,1,6.35
04.08.2019,12:00,8.5,22,N,2,6.41
04.08.2019,18:00,8.4,22,N,2,6.35
05.08.2019,0:00,6.1,24,N,3,6.35
05.08.2019,6:00,6.1,24,NW,2,5.85
05.08.2019,12:00,7.7,25,NW,3,6.1
05.08.2019,18:00,8.4,25,NW,1,5.78
06.08.2019,0:00,7.7,25,NW,2,6.16
06.08.2019,6:00,7.1,24,NE,1,5.97
06.08.2019,12:00,9.6,24,NW,0,6.03
06.08.2019,18:00,11.5,24,W,1,6.03
07.08.2019,0:00,8.7,26,NW,1,6.41
07.08.2019,6:00,8.4,25,NW,1,5.85
07.08.2019,12:00,10.6,25,NW,1,6.28
07.08.2019,18:00,12.6,25,NA,0,6.6
08.08.2019,0:00,8.8,25,NA,0,7.41
08.08.2019,6:00,8.2,24,NW,0,7.35
08.08.2019,12:00,13.5,24,NA,0,7.04
08.08.2019,18:00,15.1,25,NA,0,7.98
09.08.2019,0:00,8.3,24,NA,0,7.41
09.08.2019,6:00,6.3,25,NA,0,7.29
09.08.2019,12:00,10.6,24,NA,1,7.41
09.08.2019,18:00,12.2,25,NW,1,8.04
10.08.2019,0:00,10.8,24,NA,0,6.79
10.08.2019,6:00,8.1,23,NA,0,7.73
10.08.2019,12:00,11,24,NA,1,7.98
10.08.2019,18:00,12.7,25,NA,1,9.73
11.08.2019,0:00,8.2,24,NA,1,10.23
11.08.2019,6:00,8.4,24,E,2,8.23
11.08.2019,12:00,11.2,24,SE,1,9.48
11.08.2019,18:00,13.8,23,SE,2,9.35
12.08.2019,0:00,9.6,22,N,2,11.48
12.08.2019,6:00,9.6,22,SE,2,9.85
12.08.2019,12:00,13.4,22,SE,2,9.23
12.08.2019,18:00,11.1,22,SE,4,9.98
13.08.2019,0:00,9.9,22,SE,1,10.92
13.08.2019,6:00,9.5,26,SE,1,9.35
13.08.2019,12:00,11.1,21,SE,2,9.79
13.08.2019,18:00,11.1,21,SE,2,8.6
14.08.2019,0:00,10.7,22,SE,2,9.85
14.08.2019,6:00,11.1,22,NA,0,8.29
14.08.2019,12:00,10.6,23,NA,1,8.23
14.08.2019,18:00,10.8,23,SE,1,9.29
15.08.2019,0:00,10.2,24,NA,0,9.73
15.08.2019,6:00,10.1,21,NA,0,9.79
15.08.2019,12:00,11,21,S,0,9.79
15.08.2019,18:00,12.6,21,NA,0,9.98
16.08.2019,0:00,9.9,24,NA,0,10.54
16.08.2019,6:00,10.6,21,NA,0,10.29
16.08.2019,12:00,13.7,20,NA,0,9.92
16.08.2019,18:00,14.2,20,NA,0,11.61
17.08.2019,0:00,11.1,22,NA,0,11.04
17.08.2019,6:00,11.1,20,E,2,11.23
17.08.2019,12:00,13.4,22,SW,1,11.04
17.08.2019,18:00,14.9,24,S,1,11.17
18.08.2019,0:00,12.1,22,S,1,12.05
18.08.2019,6:00,12.1,21,S,1,10.54
18.08.2019,12:00,15.7,20,S,1,11.11
18.08.2019,18:00,16.5,20,S,1,11.67
19.08.2019,0:00,12.9,22,SW,1,12.67
19.08.2019,7:00,14.4,21,SE,1,12.36
19.08.2019,12:00,15.7,21,SE,2,10.29
19.08.2019,18:00,14.1,NA,SE,2,12.99
