"","Station","Long","Lat","Depth","Date","Constructed","No","Month"
"21674","O46",74.3743067435261,72.0022303409704,11,2017-04-27 03:00:00,16.4656982421875,16.5260601043701,4
"21675","O47",71.8872898807154,71.4803390505507,7,2017-04-27 03:00:00,4.91572141647339,4.67094278335571,4
"21676","O48",72.2058161361895,71.4709259923908,16,2017-04-27 03:00:00,7.4114556312561,7.00168466567993,4
"21677","O49",72.5329688873938,71.4610952426343,15.5,2017-04-27 03:00:00,8.76060581207275,8.11890125274658,4
"21678","O50",72.7970869439767,71.4512888995026,12.75,2017-04-27 03:00:00,5.96227025985718,5.64082336425781,4
"21679","O51",73.0008912101164,71.4416784399547,9.75,2017-04-27 03:00:00,4.88524293899536,4.57533645629883,4
"21680","O52",72.2143536386029,71.2733046310713,11.75,2017-04-27 03:00:00,4.87150430679321,4.50490856170654,4
"21681","O53",72.493230958328,71.2760392452496,21.5,2017-04-27 03:00:00,7.12629175186157,6.52571773529053,4
"21682","O54",72.7709814812953,71.2794969933704,23,2017-04-27 03:00:00,6.82222414016724,6.17118978500366,4
"21683","O55",73.0515359606133,71.2821889154327,11.25,2017-04-27 03:00:00,4.6759557723999,4.39901542663574,4
"21684","O56",73.3299209765427,71.2853172273433,9.5,2017-04-27 03:00:00,4.91204738616943,4.85028696060181,4
"21685","O57",73.6169715829086,71.1670687370742,5,2017-04-27 03:00:00,3.43920850753784,2.79806113243103,4
"21686","O58",72.5826322147043,71.1675228256034,11,2017-04-27 03:00:00,4.10716104507446,3.8583927154541,4
"21687","O59",72.8581386185319,71.1707619360445,18,2017-04-27 03:00:00,4.31133055686951,4.00409835577011,4
"21688","O60",73.140807235491,71.1733555978334,26,2017-04-27 03:00:00,4.11102914810181,3.80278038978577,4
"21689","O61",73.2778702365767,71.1748464297469,17,2017-04-27 03:00:00,4.09082651138306,3.82769823074341,4
"21690","O62",73.414712890491,71.1764114396328,12.25,2017-04-27 03:00:00,3.91884398460388,3.64162707328796,4
"21691","O63",72.2905669585845,71.6786223218286,5,2017-04-27 03:00:00,6.24538278579712,5.91954612731934,4
"21692","O64",72.5293510920599,71.6733447016654,14.5,2017-04-27 03:00:00,8.90335400899251,8.45878028869629,4
"21693","O65",73.0195744443871,71.6569094929681,16.5,2017-04-27 03:00:00,10.6922454833984,10.0997123718262,4
"21694","O66",72.691530243451,71.0368456258342,4,2017-04-27 03:00:00,1.47627520561218,1.44989156723022,4
"21695","O67",72.9634894592251,71.0390618353882,14,2017-04-27 03:00:00,3.23894715309143,3.00319790840149,4
"21696","O68",73.2390699724989,71.0412779331425,17.5,2017-04-27 03:00:00,2.91813580195109,2.69436224301656,4
"21697","O69",73.3803103385595,71.0424667132828,19,2017-04-27 03:00:00,3.65385007858276,3.3930811882019,4
"21698","O70",73.5170847696196,71.0444487594944,24,2017-04-27 03:00:00,3.94328856468201,3.61884546279907,4
"21699","O71",73.6331058331608,71.0452270565166,9,2017-04-27 03:00:00,4.18293905258179,3.75624322891235,4
"21700","O72",73.3837036588611,71.0012048811599,19,2017-04-27 03:00:00,3.51798868179321,3.22196555137634,4
"21701","O73",73.5178581788217,71.0006026877374,20.5,2017-04-27 03:00:00,3.71487617492676,3.45170855522156,4
"21702","O74",73.7520697437217,71.0255283640478,5,2017-04-27 03:00:00,NA,NA,4
"21703","O75",72.6997175571565,70.9477032892576,5,2017-04-27 03:00:00,1.25310182571411,1.17907047271729,4
"21704","O76",72.9734932361907,70.9489775019397,10,2017-04-27 03:00:00,2.24858045578003,2.01255035400391,4
"21705","O77",73.2477631198429,70.9517725658342,19,2017-04-27 03:00:00,2.19604688882828,1.97302576899529,4
"21706","O78",73.3875806458152,70.9538367918477,15,2017-04-27 03:00:00,2.74921083450317,2.51482105255127,4
"21707","O79",73.5221053768673,70.954160634102,23,2017-04-27 03:00:00,3.4151303768158,3.1190459728241,4
"21708","O80",73.6429007684478,70.9550833774804,21,2017-04-27 03:00:00,3.54413151741028,3.21872091293335,4
"21709","O81",73.7965086197577,70.9561431233646,9,2017-04-27 03:00:00,2.96620750427246,2.86227488517761,4
"21710","O82",73.8718700622317,70.9804120078598,3,2017-04-27 03:00:00,3.02305483818054,2.83753156661987,4
"21711","O83",73.3899589631784,70.9126619627998,15,2017-04-27 03:00:00,2.69489622116089,2.44942116737366,4
"21712","O84",73.5247496847243,70.9143985276368,24,2017-04-27 03:00:00,3.24095249176025,2.93373227119446,4
"21713","O85",73.654311582415,70.9161213563848,22,2017-04-27 03:00:00,3.52031517028809,3.20065331459045,4
"21714","O86",73.7977168648191,70.9185085009972,10,2017-04-27 03:00:00,2.92759156227112,2.61789560317993,4
"21715","O87",72.9832714850373,70.8600785873806,9,2017-04-27 03:00:00,1.41455090045929,1.28182661533356,4
"21716","O88",73.2593376039838,70.8633009474576,18,2017-04-27 03:00:00,2.05861276388168,1.84597164392471,4
"21717","O89",73.3974536609866,70.8643416932302,18,2017-04-27 03:00:00,2.15126723051071,1.92670294642448,4
"21718","O90",73.5286517577302,70.8652346559054,22,2017-04-27 03:00:00,2.9725329875946,2.67675352096558,4
"21719","O91",73.6624109187264,70.8663506431024,24,2017-04-27 03:00:00,3.24491024017334,2.94835376739502,4
"21720","O92",73.8026107263455,70.8672052391596,10,2017-04-27 03:00:00,2.79938268661499,2.52632999420166,4
"21721","O93",73.906789427321,70.853718738334,6,2017-04-27 03:00:00,NA,NA,4
"21722","O94",72.5927496218929,70.1788473545258,5,2017-04-27 03:00:00,NA,NA,4
"21723","O95",72.8537955770576,70.1716521544835,9,2017-04-27 03:00:00,NA,NA,4
"21724","O96",73.1192023153647,70.1637691288032,12,2017-04-27 03:00:00,NA,NA,4
"21725","O97",73.3821524795885,70.1556502103624,20,2017-04-27 03:00:00,NA,NA,4
"21726","O98",73.6427920686747,70.1472153092434,8,2017-04-27 03:00:00,NA,NA,4
"21727","O99",73.6452669073265,71.0061910804508,12,2017-04-27 03:00:00,3.5731189250946,3.21769332885742,4
"21728","O101",73.6529617012555,70.9948573659749,12,2017-04-27 03:00:00,3.45568919181824,3.11646175384521,4
"21729","O102",73.71556593503,71.0026506694739,11.5,2017-04-27 03:00:00,3.5274806022644,3.24232769012451,4
