Ecology;Site;Site_code;Latitude;Longitude;Year;Date;Sample;N;ID;DN;Rate_of_aneuploid_cells;Ploidy_of_aneuploid_cells;BTN_genotype;COI-test_Hemo;COI-test_Foot;Sex;L;Last_ring;Increment;Age;ring1;ring2;ring3;ring4;ring5;ring6;ring7;ring8;ring9;ring10;ring11;ring12;ring13;OGP_sample;OGP_site
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;14;no;0;NA;healthy;NA;NA;female;"51,8";"51,3";"0,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;15;no;0;NA;healthy;NA;NA;male;"51,5";"50,8";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;16;no;0;NA;healthy;NA;NA;female;"52,5";"51,9";"0,6";10;NA;5;"6,9";12;"19,5";25;39;"43,9";"48,4";"51,9";NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;17;no;0;NA;healthy;NA;NA;female;"51,6";"50,8";"0,8";8;NA;"6,5";"14,7";"23,1";"32,3";42;"46,2";"50,8";NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;18;no;0;NA;healthy;NA;NA;male;"50,2";"49,6";"0,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;19;no;0;NA;healthy;NA;NA;no gametes;"45,3";"44,3";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;20;no;0;NA;healthy;NA;NA;female;"50,3";"49,5";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;21;no;0;NA;healthy;NA;NA;female;"53,8";"53,3";"0,5";11;NA;"5,3";"6,6";"11,5";"17,1";"21,9";"29,1";"35,7";45;"49,7";"53,3";NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;22;no;0;NA;healthy;NA;NA;female;"50,7";"48,7";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;23;no;0;NA;healthy;NA;NA;no gametes;"47,6";47;"0,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;24;no;0;NA;healthy;NA;NA;male;"55,3";"54,6";"0,7";11;NA;"5,4";"8,5";"12,7";"15,4";"20,5";"27,5";34;"38,8";"47,7";"54,6";NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;25;no;0;NA;healthy;NA;NA;male;"49,6";"48,8";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;26;no;0;NA;healthy;NA;NA;no gametes;"43,3";"42,7";"0,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;27;no;0;NA;healthy;NA;NA;male;"48,3";"47,4";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;28;no;0;NA;healthy;NA;NA;male;"49,9";"49,5";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;29;no;0;NA;healthy;NA;NA;male;50;"49,8";"0,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;30;no;0;NA;healthy;NA;NA;male;"43,7";"43,4";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
