"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"765","S_480",55.1227558,159.8858658,2004,2023,20,0.8036,0.0323,"2003to2023","ndvi.max",-0.00253,0.824,-0.368,0.0301,-0.053,-6.4,"browning"
"766","S_481",55.0818306,159.9150384,2004,2023,20,0.8241,0.0569,"2003to2023","ndvi.max",-0.00326,0.9026,-0.298,0.0802,-0.068,-7.5,"browning"
"767","S_482",55.1299089,159.9387227,2004,2023,20,0.8352,0.0243,"2003to2023","ndvi.max",-7e-04,1.1111,-0.123,0.4841,-0.015,-1.4,"no_trend"
"768","S_483",55.1394217,159.9634191,2004,2023,20,0.8193,0.0241,"2003to2023","ndvi.max",-0.00153,1.0698,-0.193,0.2629,-0.032,-3,"no_trend"
"769","S_484",55.1164998,159.9294713,2004,2023,19,0.7846,0.0248,"2003to2023","ndvi.max",0.00062,1.0158,0.111,0.5445,0.013,1.3,"no_trend"
"770","S_485",55.1351423,159.9590807,2004,2023,20,0.8109,0.0203,"2003to2023","ndvi.max",-0.00143,0.8164,-0.24,0.1617,-0.03,-3.7,"no_trend"
"771","S_486",55.0983318,160.042357,2004,2023,19,0.8589,0.0251,"2003to2023","ndvi.max",-0.00054,0.7917,-0.085,0.6494,-0.011,-1.4,"no_trend"
"772","S_488",55.1482195,159.9758703,2004,2023,20,0.8228,0.0341,"2003to2023","ndvi.max",-0.00129,1.0333,-0.298,0.0802,-0.027,-2.6,"browning"
"773","S_489",55.0896047,160.1145188,2004,2023,19,0.9031,0.0306,"2003to2023","ndvi.max",-0.00147,0.9311,-0.229,0.1978,-0.031,-3.3,"no_trend"
"774","S_49",55.1051671,159.9988029,2004,2023,20,0.8249,0.033,"2003to2023","ndvi.max",0.00181,0.8152,0.228,0.1837,0.038,4.7,"no_trend"
"775","S_490",55.0844473,160.0579757,2004,2023,19,0.9178,0.0242,"2003to2023","ndvi.max",-0.00221,0.8451,-0.346,0.0489,-0.046,-5.4,"browning"
"776","S_491",55.1480596,159.9956375,2004,2023,20,0.8319,0.0199,"2003to2023","ndvi.max",-0.00089,1.0213,-0.205,0.2342,-0.019,-1.9,"no_trend"
"777","S_492",55.1141691,159.9519934,2004,2023,20,0.8836,0.0305,"2003to2023","ndvi.max",-0.00275,0.9364,-0.392,0.0209,-0.058,-6.2,"browning"
"778","S_493",55.1377751,159.8965519,2004,2023,20,0.7778,0.0271,"2003to2023","ndvi.max",-0.00155,0.8289,-0.251,0.1417,-0.033,-4,"no_trend"
"779","S_494",55.1368372,159.9139432,2004,2023,19,0.8082,0.0332,"2003to2023","ndvi.max",0.00011,0.7801,0.02,0.9396,0.002,0.3,"no_trend"
"780","S_495",55.1187515,159.9521024,2004,2023,20,0.8202,0.0191,"2003to2023","ndvi.max",-0.00054,0.9299,-0.17,0.3273,-0.011,-1.2,"no_trend"
"781","S_496",55.1416863,160.0792575,2004,2023,20,0.8435,0.0319,"2003to2023","ndvi.max",-0.00205,1.1022,-0.287,0.0931,-0.043,-3.9,"browning"
"782","S_497",55.086768,160.1003392,2004,2023,20,0.8974,0.0257,"2003to2023","ndvi.max",-0.00117,0.6941,-0.322,0.0589,-0.025,-3.6,"browning"
"783","S_499",55.1310592,159.929339,2004,2023,20,0.8166,0.0189,"2003to2023","ndvi.max",-0.00097,1.0145,-0.193,0.2629,-0.02,-2,"no_trend"
"784","S_5",55.0947581,159.9858503,2004,2023,20,0.8299,0.0261,"2003to2023","ndvi.max",-0.00093,0.5895,-0.099,0.5756,-0.02,-3.4,"no_trend"
"785","S_50",55.1254237,159.9259148,2004,2023,20,0.8166,0.04,"2003to2023","ndvi.max",-0.00129,0.8189,-0.158,0.363,-0.027,-3.3,"no_trend"
"786","S_501",55.1354661,160.0188536,2004,2023,20,0.8595,0.0194,"2003to2023","ndvi.max",-0.00062,1.0459,-0.123,0.4841,-0.013,-1.2,"no_trend"
"787","S_502",55.0934171,160.017784,2004,2023,20,0.8303,0.0491,"2003to2023","ndvi.max",0.00111,0.9627,0.146,0.4011,0.023,2.4,"no_trend"
"788","S_503",55.1315925,160.0620454,2004,2023,20,0.8772,0.0401,"2003to2023","ndvi.max",-0.00152,1.1097,-0.287,0.0931,-0.032,-2.9,"browning"
"789","S_505",55.0933039,159.9308134,2004,2023,20,0.8361,0.0328,"2003to2023","ndvi.max",-0.00168,0.8357,-0.333,0.0501,-0.035,-4.2,"browning"
"790","S_506",55.0900917,159.9960768,2004,2023,20,0.8425,0.0476,"2003to2023","ndvi.max",0.00021,0.9615,0.006,1,0.004,0.4,"no_trend"
"791","S_507",55.0937213,160.0455278,2004,2023,20,0.8571,0.0256,"2003to2023","ndvi.max",0.00026,0.9261,0.041,0.8337,0.005,0.5,"no_trend"
"792","S_509",55.0974359,160.0832366,2004,2023,20,0.893,0.0242,"2003to2023","ndvi.max",-0.00211,0.9062,-0.462,0.0064,-0.044,-4.9,"browning"
"793","S_510",55.0730225,159.9388,2004,2023,20,0.8538,0.0234,"2003to2023","ndvi.max",-0.00146,0.8547,-0.205,0.2342,-0.031,-3.6,"no_trend"
"794","S_511",55.1365325,160.0202926,2004,2023,20,0.8433,0.029,"2003to2023","ndvi.max",-0.00051,0.9137,-0.099,0.5756,-0.011,-1.2,"no_trend"
"795","S_514",55.0963028,160.148085,2004,2023,20,0.8866,0.016,"2003to2023","ndvi.max",-0.00112,0.5594,-0.322,0.0589,-0.024,-4.3,"browning"
"796","S_515",55.098459,160.1481468,2004,2023,20,0.8983,0.047,"2003to2023","ndvi.max",-0.00144,0.9018,-0.31,0.0689,-0.03,-3.3,"browning"
"797","S_516",55.1046579,159.8906379,2004,2023,20,0.8211,0.0651,"2003to2023","ndvi.max",-0.00719,0.5827,-0.509,0.0026,-0.151,-25.9,"browning"
"798","S_517",55.0908766,160.0313515,2004,2023,20,0.8506,0.023,"2003to2023","ndvi.max",-0.00029,1.0263,-0.076,0.6746,-0.006,-0.6,"no_trend"
"799","S_52",55.1019512,160.0603189,2004,2023,20,0.8628,0.0225,"2003to2023","ndvi.max",-0.00048,0.9757,-0.146,0.4011,-0.01,-1,"no_trend"
"800","S_520",55.1100305,159.9293211,2004,2023,20,0.8391,0.0273,"2003to2023","ndvi.max",-0.0018,0.9679,-0.275,0.1075,-0.038,-3.9,"no_trend"
"801","S_521",55.1200362,159.9253197,2004,2023,20,0.8031,0.0283,"2003to2023","ndvi.max",-0.00276,0.8708,-0.567,8e-04,-0.058,-6.7,"browning"
"802","S_523",55.0708116,159.9457956,2004,2023,20,0.8626,0.0401,"2003to2023","ndvi.max",-0.00293,0.9348,-0.333,0.0501,-0.062,-6.6,"browning"
"803","S_524",55.0892869,159.9955867,2004,2023,20,0.8544,0.0433,"2003to2023","ndvi.max",-0.00191,1.3324,-0.275,0.1075,-0.04,-3,"no_trend"
"804","S_526",55.137514,159.9313714,2004,2023,20,0.8123,0.0351,"2003to2023","ndvi.max",-0.00154,0.8777,-0.287,0.0931,-0.032,-3.6,"browning"
"805","S_527",55.1273639,159.9189023,2004,2023,19,0.8156,0.03,"2003to2023","ndvi.max",-0.0015,0.9023,-0.229,0.1978,-0.032,-3.5,"no_trend"
"806","S_528",55.0842085,159.9564515,2004,2023,20,0.8427,0.0304,"2003to2023","ndvi.max",-0.00112,0.7883,-0.135,0.4415,-0.024,-3,"no_trend"
