"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"497","S_46",55.1054665,159.8906559,2005,2023,18,0.1733,0.0081,"2005to2023","nirv.max",-0.00064,0.2334,-0.353,0.0529,-0.012,-5.1,"browning"
"498","S_463",55.1018356,159.9432368,2005,2023,15,0.1687,0.0102,"2005to2023","nirv.max",-0.00038,0.1896,-0.143,0.5112,-0.007,-3.7,"no_trend"
"499","S_465",55.1418173,160.0947932,2005,2023,18,0.2653,0.0144,"2005to2023","nirv.max",-0.00031,0.2237,-0.088,0.6505,-0.006,-2.7,"no_trend"
"500","S_466",55.1096344,159.9457719,2005,2023,18,0.1881,0.0074,"2005to2023","nirv.max",-0.00039,0.2245,-0.176,0.3434,-0.007,-3.1,"no_trend"
"501","S_467",55.1348615,159.9256626,2005,2023,14,0.1737,0.0104,"2005to2023","nirv.max",-0.00109,0.1946,-0.205,0.3601,-0.021,-10.8,"no_trend"
"502","S_468",55.1207759,159.8985232,2005,2023,16,0.1727,0.0119,"2005to2023","nirv.max",-3e-04,0.1562,-0.124,0.5526,-0.006,-3.8,"no_trend"
"503","S_469",55.1220434,159.9093715,2005,2023,18,0.1773,0.0157,"2005to2023","nirv.max",-0.00093,0.2622,-0.426,0.0189,-0.018,-6.9,"browning"
"504","S_47",55.13,159.995188,2005,2023,18,0.184,0.0121,"2005to2023","nirv.max",5e-05,0.2632,0.059,0.7731,0.001,0.4,"no_trend"
"505","S_470",55.0975633,160.0376355,2005,2023,18,0.1976,0.0091,"2005to2023","nirv.max",0.00034,0.2276,0.132,0.4838,0.006,2.6,"no_trend"
"506","S_471",55.0801997,160.0503445,2005,2023,18,0.2724,0.0237,"2005to2023","nirv.max",-0.00276,0.1937,-0.456,0.012,-0.052,-26.8,"browning"
"507","S_474",55.1122548,159.9204367,2005,2023,18,0.1706,0.0115,"2005to2023","nirv.max",3e-04,0.1989,0.162,0.387,0.006,3,"no_trend"
"508","S_475",55.1146089,160.1509618,2005,2023,18,0.1856,0.0167,"2005to2023","nirv.max",-0.00068,0.2096,-0.162,0.387,-0.013,-6.2,"no_trend"
"509","S_476",55.0942772,159.9444691,2005,2023,17,0.1806,0.0151,"2005to2023","nirv.max",0.00037,0.1967,0.117,0.5584,0.007,3.6,"no_trend"
"510","S_477",55.134203,159.9755283,2005,2023,19,0.2302,0.0182,"2005to2023","nirv.max",-0.00046,0.2456,-0.085,0.6494,-0.009,-3.7,"no_trend"
"511","S_478",55.1390656,160.0707153,2005,2023,19,0.1764,0.0104,"2005to2023","nirv.max",-0.00032,0.229,-0.072,0.7049,-0.006,-2.6,"no_trend"
"512","S_479",55.0999524,159.9427222,2005,2023,18,0.1859,0.0103,"2005to2023","nirv.max",0.00102,0.2468,0.426,0.0189,0.019,7.7,"greening"
"513","S_482",55.1299089,159.9387227,2005,2023,19,0.1961,0.0152,"2005to2023","nirv.max",-0.00045,0.2185,-0.176,0.3247,-0.009,-4.1,"no_trend"
"514","S_483",55.1394217,159.9634191,2005,2023,19,0.1866,0.0117,"2005to2023","nirv.max",-0.00024,0.1906,-0.111,0.5445,-0.005,-2.6,"no_trend"
"515","S_485",55.1351423,159.9590807,2005,2023,17,0.1794,0.0162,"2005to2023","nirv.max",-0.00071,0.1544,-0.317,0.0957,-0.013,-8.4,"browning"
"516","S_486",55.0983318,160.042357,2005,2023,18,0.199,0.0108,"2005to2023","nirv.max",-0.00074,0.2445,-0.265,0.1494,-0.014,-5.7,"no_trend"
"517","S_489",55.0896047,160.1145188,2006,2023,17,0.2617,0.0258,"2005to2023","nirv.max",-0.00085,0.21,-0.183,0.3444,-0.016,-7.6,"no_trend"
"518","S_490",55.0844473,160.0579757,2005,2023,17,0.2862,0.0223,"2005to2023","nirv.max",-0.00119,0.4169,-0.267,0.1628,-0.023,-5.5,"no_trend"
"519","S_491",55.1480596,159.9956375,2005,2023,15,0.17,0.0101,"2005to2023","nirv.max",-1e-04,0.1683,-0.033,0.9128,-0.002,-1.2,"no_trend"
"520","S_492",55.1141691,159.9519934,2005,2023,19,0.2516,0.026,"2005to2023","nirv.max",-0.00272,0.2796,-0.32,0.069,-0.052,-18.6,"browning"
"521","S_495",55.1187515,159.9521024,2005,2023,16,0.1727,0.0116,"2005to2023","nirv.max",0.00054,0.1846,0.276,0.1659,0.01,5.4,"no_trend"
"522","S_496",55.1416863,160.0792575,2005,2023,19,0.1857,0.0144,"2005to2023","nirv.max",-0.00125,0.2579,-0.268,0.1297,-0.024,-9.3,"no_trend"
