"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"691","S_632",55.0831606,160.0508921,2004,2023,20,0.6739,0.0212,"2003to2023","kndvi.max",-0.00149,0.8616,-0.287,0.0931,-0.031,-3.6,"browning"
"692","S_633",55.1130441,160.0864809,2004,2023,20,0.5922,0.0381,"2003to2023","kndvi.max",0.00164,0.5384,0.158,0.363,0.034,6.3,"no_trend"
"693","S_640",55.0922362,160.0299762,2004,2023,19,0.6069,0.0346,"2003to2023","kndvi.max",7e-04,0.6547,0.046,0.8202,0.015,2.3,"no_trend"
"694","S_643",55.1232488,159.9630297,2004,2023,20,0.6327,0.0277,"2003to2023","kndvi.max",-0.00191,0.6764,-0.24,0.1617,-0.04,-5.9,"no_trend"
"695","S_646",55.1338724,160.0159896,2004,2023,20,0.6447,0.0269,"2003to2023","kndvi.max",-0.00162,0.7228,-0.31,0.0689,-0.034,-4.7,"browning"
"696","S_647",55.0844695,159.9912371,2004,2023,20,0.6045,0.024,"2003to2023","kndvi.max",0.00089,0.5667,0.123,0.4841,0.019,3.4,"no_trend"
"697","S_648",55.0851524,159.9390841,2004,2023,20,0.6187,0.0323,"2003to2023","kndvi.max",-0.00051,0.6201,-0.099,0.5756,-0.011,-1.8,"no_trend"
"698","S_649",55.1011085,160.0005824,2004,2023,19,0.5996,0.0254,"2003to2023","kndvi.max",-0.00031,0.6497,-0.059,0.7619,-0.007,-1.1,"no_trend"
"699","S_65",55.0911661,159.9965736,2004,2023,20,0.6148,0.0228,"2003to2023","kndvi.max",-7e-05,0.849,-0.018,0.9442,-0.001,-0.1,"no_trend"
"700","S_650",55.0911461,160.0313584,2004,2023,20,0.6021,0.0431,"2003to2023","kndvi.max",0.00047,0.7677,0.041,0.8337,0.01,1.3,"no_trend"
"701","S_651",55.1412046,159.9422824,2004,2023,20,0.5707,0.0279,"2003to2023","kndvi.max",0.00111,0.7305,0.181,0.2939,0.023,3.1,"no_trend"
"702","S_655",55.13825,159.9751564,2004,2023,20,0.6044,0.031,"2003to2023","kndvi.max",-0.00273,0.9724,-0.415,0.0143,-0.057,-5.9,"browning"
"703","S_656",55.1074591,159.8761222,2004,2023,20,0.5936,0.0239,"2003to2023","kndvi.max",-0.00064,0.8611,-0.135,0.4415,-0.013,-1.5,"no_trend"
