Square,Sample,Morph,Length,Status,Site
10,B,E,26,dead,Vor4
10,B,E,20,dead,Vor4
10,B,E,21,dead,Vor4
10,B,E,32,dead,Vor4
5,B,T,23,dead,VorKorg
5,B,T,28,dead,VorKorg
5,B,T,31,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,23,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,22,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,23,dead,VorKorg
5,B,T,24,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,24,dead,VorKorg
5,B,T,24,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,24,dead,VorKorg
5,B,T,24,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,22,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,23,dead,VorKorg
5,B,T,22,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,23,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,15,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,15,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,15,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,19,dead,VorKorg
5,B,T,20,dead,VorKorg
5,B,T,17,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,13,dead,VorKorg
5,B,T,13,dead,VorKorg
5,B,T,15,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,18,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,21,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,16,dead,VorKorg
5,B,T,14,dead,VorKorg
5,B,T,13,dead,VorKorg
5,B,T,13,dead,VorKorg
5,B,T,13,dead,VorKorg
5,B,E,29,dead,VorKorg
5,B,E,31,dead,VorKorg
5,B,E,24,dead,VorKorg
5,B,E,25,dead,VorKorg
5,B,E,17,dead,VorKorg
5,B,E,23,dead,VorKorg
5,B,E,20,dead,VorKorg
5,B,E,24,dead,VorKorg
5,B,E,20,dead,VorKorg
5,B,E,23,dead,VorKorg
5,B,E,17,dead,VorKorg
5,B,E,18,dead,VorKorg
5,B,E,17,dead,VorKorg
5,B,E,19,dead,VorKorg
5,B,E,18,dead,VorKorg
5,B,E,18,dead,VorKorg
5,B,E,16,dead,VorKorg
5,B,E,14,dead,VorKorg
5,B,E,14,dead,VorKorg
5,B,E,14,dead,VorKorg
5,B,E,14,dead,VorKorg
6,C,T,23,dead,VorKorg
6,C,T,22,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,24,dead,VorKorg
6,C,T,25,dead,VorKorg
6,C,T,25,dead,VorKorg
6,C,T,24,dead,VorKorg
6,C,T,21,dead,VorKorg
6,C,T,22,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,22,dead,VorKorg
6,C,T,26,dead,VorKorg
6,C,T,21,dead,VorKorg
6,C,T,21,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,21,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,21,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,22,dead,VorKorg
6,C,T,22,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,22,dead,VorKorg
6,C,T,18,dead,VorKorg
6,C,T,24,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,15,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,15,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,21,dead,VorKorg
6,C,T,18,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,19,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,18,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,20,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,18,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,14,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,16,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,17,dead,VorKorg
6,C,T,12,dead,VorKorg
6,C,T,15,dead,VorKorg
