sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
GRYE365,JPC,edulis,Jonesport Central,0.999976,0.000024,NA,NA,NA,E
GRYE367,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE368,JPC,edulis,Jonesport Central,0.999985,0.000015,NA,NA,NA,E
GRYE369,JPC,edulis,Jonesport Central,0.999986,0.000014,NA,NA,NA,E
GRYE370,JPC,edulis,Jonesport Central,0.999985,0.000015,53.7,31.4,27,E
GRYE371,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE372,JPC,edulis,Jonesport Central,0.999983,0.000017,NA,NA,NA,E
GRYE373,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE374,JPC,edulis,Jonesport Central,0.999987,0.000013,52,25.6,25.6,E
GRYE375,JPC,edulis,Jonesport Central,0.999984,0.000016,51,26.2,26.2,E
GRYE376,JPC,edulis,Jonesport Central,0.999986,0.000014,NA,NA,NA,E
GRYE377,JPC,edulis,Jonesport Central,0.999979,0.000021,NA,NA,NA,E
GRYE378,JPC,edulis,Jonesport Central,0.999984,0.000016,52.1,24.8,24.8,E
GRYE379,JPC,edulis,Jonesport Central,0.999983,0.000017,53.3,28.2,0,T
GRYE380,JPC,edulis,Jonesport Central,0.999981,0.000019,54.1,28.4,28.4,E
GRYE381,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE382,JPC,edulis,Jonesport Central,0.999989,0.000011,62.7,30.8,30.8,E
GRYE384,JPC,edulis,Jonesport Central,0.999982,0.000018,58.9,28.9,28.9,E
GRYE385,JPC,edulis,Jonesport Central,0.999985,0.000015,53.3,26.1,26.1,E
GRYE386,JPC,edulis,Jonesport Central,0.99998,0.00002,47.3,25.4,25.4,E
GRYE387,JPC,edulis,Jonesport Central,0.999981,0.000019,52.9,26.4,26.4,E
GRYE388,JPC,edulis,Jonesport Central,0.999978,0.000022,52.1,25.9,25.9,E
GRYE389,JPC,edulis,Jonesport Central,0.999986,0.000014,49.9,26,20.7,E
GRYE390,JPC,edulis,Jonesport Central,0.999985,0.000015,38.3,19.9,19.9,E
GYO338,KIM,edulis,Kent Island Mooring,0.999984,0.000016,87.8,45.4,36.2,E
GYO340,KIM,edulis,Kent Island Mooring,0.999979,0.000021,76.6,39.5,31.3,E
GYO341,KIM,edulis,Kent Island Mooring,0.999986,0.000014,62.9,31.4,25.6,E
GYO368,KIM,edulis,Kent Island Mooring,0.999986,0.000014,81,35.9,29.6,E
