sample_ID,pop_ID,species,location,edulis,trossulus
OR261,MDRE,edulis,Mount Desert Rock East,0.999971,0.000029
OR263,MDRE,edulis,Mount Desert Rock East,0.999978,0.000022
OR264,MDRE,edulis,Mount Desert Rock East,0.999975,0.000025
OR265,MDRE,trossulus,Mount Desert Rock East,0.030255,0.969745
OR269,MDRE,edulis,Mount Desert Rock East,0.999965,0.000035
OR271,MDRE,edulis,Mount Desert Rock East,0.99998,0.00002
OR272,MDRE,edulis,Mount Desert Rock East,0.99998,0.00002
OR273,MDRE,edulis,Mount Desert Rock East,0.999972,0.000028
OR274,MDRE,trossulus,Mount Desert Rock East,0.000044,0.999956
OR275,MDRE,edulis,Mount Desert Rock East,0.999979,0.000021
OR277,MDRE,edulis,Mount Desert Rock East,0.999981,0.000019
OR278,MDRE,edulis,Mount Desert Rock East,0.99993,0.00007
OR280,MDRE,edulis,Mount Desert Rock East,0.999936,0.000064
OR281,MDRE,trossulus,Mount Desert Rock East,0.000074,0.999926
OR282,MDRE,trossulus,Mount Desert Rock East,0.000056,0.999944
OR283,MDRE,edulis,Mount Desert Rock East,0.999866,0.000134
RE016,PH,edulis,Phippsburg The Basin,0.999988,0.000012
RE061,PH,edulis,Phippsburg The Basin,0.999983,0.000017
RE062,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE063,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE064,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE065,PH,edulis,Phippsburg The Basin,0.999971,0.000029
RE066,PH,edulis,Phippsburg The Basin,0.999983,0.000017
RE067,PH,edulis,Phippsburg The Basin,0.999978,0.000022
RE070,PH,edulis,Phippsburg The Basin,0.999986,0.000014
RE071,PH,edulis,Phippsburg The Basin,0.999986,0.000014
RE072,PH,edulis,Phippsburg The Basin,0.999986,0.000014
RE073,PH,edulis,Phippsburg The Basin,0.999986,0.000014
RE074,PH,edulis,Phippsburg The Basin,0.999984,0.000016
RE075,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE076,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE077,PH,edulis,Phippsburg The Basin,0.999957,0.000043
RE078,PH,edulis,Phippsburg The Basin,0.999958,0.000042
RE079,PH,edulis,Phippsburg The Basin,0.999979,0.000021
RE080,PH,edulis,Phippsburg The Basin,0.999979,0.000021
RE081,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE082,PH,edulis,Phippsburg The Basin,0.999984,0.000016
RE083,PH,edulis,Phippsburg The Basin,0.999973,0.000027
RE084,PH,edulis,Phippsburg The Basin,0.999981,0.000019
RE085,PH,edulis,Phippsburg The Basin,0.999982,0.000018
RE086,PH,edulis,Phippsburg The Basin,0.99998,0.00002
RE087,PH,edulis,Phippsburg The Basin,0.999987,0.000013
RE088,PH,edulis,Phippsburg The Basin,0.999986,0.000014
RE089,PH,edulis,Phippsburg The Basin,0.999986,0.000014
RE090,PH,edulis,Phippsburg The Basin,0.999969,0.000031
REBL214,CBE,trossulus,Cobscook Bay Eastport,0.000032,0.999968
REBL215,CBE,edulis,Cobscook Bay Eastport,0.997703,0.002297
REBL216,CBE,trossulus,Cobscook Bay Eastport,0.000019,0.999981
REBL217,CBE,trossulus,Cobscook Bay Eastport,0.000017,0.999983
REBL218,CBE,trossulus,Cobscook Bay Eastport,0.000025,0.999975
REBL219,CBE,trossulus,Cobscook Bay Eastport,0.000021,0.999979
REBL221,CBE,trossulus,Cobscook Bay Eastport,0.00002,0.99998
REBL222,CBE,trossulus,Cobscook Bay Eastport,0.000019,0.999981
