population;site;sample_type;substrate;L;z;structure;species;hybride_score
voronya;Voronya;unsystematic;any;14.4;0.576923077;0.011;edulis;0
voronya;Voronya;unsystematic;any;17.1;0;0.99;trossulus;8
voronya;Voronya;unsystematic;any;15.9;0.677419355;0.011;edulis;0
voronya;Voronya;unsystematic;any;17.3;0.723076923;0.011;edulis;0
voronya;Voronya;unsystematic;any;21.7;0.736842105;0.392;hybrid;4
voronya;Voronya;unsystematic;any;22.7;0;0.989;trossulus;8
voronya;Voronya;unsystematic;any;23.9;0.705882353;0.091;hybrid;1
voronya;Voronya;unsystematic;any;25.3;0.773195876;0.974;trossulus;7
voronya;Voronya;unsystematic;any;23.7;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;29.9;0.8;0.01;edulis;0
voronya;Voronya;unsystematic;any;25.4;0.954545455;0.011;edulis;0
voronya;Voronya;unsystematic;any;30.5;1;0.014;edulis;1
voronya;Voronya;unsystematic;any;32.6;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;35.9;0.96969697;0.058;edulis;2
voronya;Voronya;unsystematic;any;33.3;0.688888889;0.385;hybrid;3
voronya;Voronya;unsystematic;any;32.8;0.965034965;0.01;edulis;0
voronya;Voronya;unsystematic;any;33.7;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;42.4;0.850746269;0.013;edulis;1
voronya;Voronya;unsystematic;any;33.9;0.903225806;0.011;edulis;0
voronya;Voronya;unsystematic;any;34.6;1;0.011;edulis;0
ryazh_f;Ryazhkov;systematic;fucales;12.6;0;0.989;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;18.5;0.825;0.089;hybrid;1
ryazh_f;Ryazhkov;systematic;fucales;14.7;0.901639344;0.043;edulis;1
ryazh_f;Ryazhkov;systematic;fucales;24.9;0;0.805;hybrid;5
ryazh_f;Ryazhkov;systematic;fucales;19.4;0.917647059;0.388;hybrid;3
ryazh_f;Ryazhkov;systematic;fucales;31.2;0;0.986;trossulus;6
ryazh_f;Ryazhkov;systematic;fucales;26.8;1;0.011;edulis;0
ryazh_f;Ryazhkov;systematic;fucales;30.6;0;0.99;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;29.8;0;0.975;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;25.1;0.454545455;0.36;hybrid;2
ryazh_f;Ryazhkov;systematic;fucales;27.5;0;0.568;hybrid;4
ryazh_f;Ryazhkov;systematic;fucales;29.1;0;0.973;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;23.2;0;0.916;trossulus;6
ryazh_f;Ryazhkov;systematic;fucales;37.1;0;0.523;hybrid;4
ryazh_f;Ryazhkov;systematic;fucales;39.7;0;0.989;trossulus;8
ryazh_f;Ryazhkov;systematic;fucales;46.8;0;0.974;trossulus;7
ryazh_f;Ryazhkov;systematic;fucales;43.6;0.788944724;0.012;edulis;0
ryazh_f;Ryazhkov;systematic;fucales;11.5;0.5;0.367;hybrid;4
ryazh_f;Ryazhkov;systematic;fucales;11.5;0.511111111;0.989;trossulus;8
