sample_ID,L,l,a,MorphotypE
GRYE375,51,26.2,26.2,E
GRYE348,51.3,28.7,25.7,E
GRYE390,38.3,19.9,19.9,E
GRYE389,49.9,26,20.7,E
GRYE385,53.3,26.1,26.1,E
GRYE357,53.4,28.5,28.5,E
GRYE370,53.7,31.4,27,E
GRYE340,47.2,23.6,23.6,E
GRYE331,54.8,29.4,29.4,E
GRYE346,58.3,28.7,29.8,E
GRYE384,58.9,28.9,28.9,E
GRYE336,53.8,27.8,27.8,E
GRYE339,57.7,30.5,30.5,E
GRYE387,52.9,26.4,26.4,E
GRYE358,49.4,28.5,24,E
GRYE357,53.2,28,28,E
GRYE350,NA,NA,NA,E
GRYE355,NA,NA,NA,E
GRYE377,NA,NA,NA,E
GRYE364,NA,NA,NA,E
GRYE362,NA,NA,NA,E
GRYE368,NA,NA,NA,E
GRYE372,NA,NA,NA,E
GRYE381,NA,NA,NA,E
GRYE341,NA,NA,NA,E
GRYE367,NA,NA,NA,E
GRYE369,NA,NA,NA,E
GRYE365,NA,NA,NA,E
GRYE356,NA,NA,NA,E
GRYE361,NA,NA,NA,E
GRYE338,NA,NA,NA,E
GRYE354,NA,NA,NA,E
GRYE371,NA,NA,NA,E
GRYE376,NA,NA,NA,E
GRYE345,NA,NA,NA,E
GRYE373,NA,NA,NA,E
GRYE359,NA,NA,NA,E
GROR339,43.5,20.9,0,T
GROR340,71.7,40.5,40.5,E
GROR321,68.4,50.3,43.1,E
GROR349,80.1,53.5,43.9,E
GROR342,71.4,40.2,36.3,E
GROR343,70.9,43.9,43.9,E
GROR348,66.5,40.1,38.4,E
GROR336,66.2,39.5,37.3,E
GROR347,80.9,50.3,50.3,E
GROR333,49.8,30.9,21.7,E
GROR323,69.4,41.5,33.5,E
GROR334,61.6,35.5,35.5,E
GROR317,62.8,33,27.3,E
GROR318,64.9,36.6,27.4,E
GROR313,57.4,38.9,37.9,E
GROR344,73,42.9,42.9,E
GROR346,71.4,39.7,33,E
GROR326,74.2,44.3,37.9,E
GROR331,67.5,40.6,38.1,E
GROR345,71.9,45.7,41.8,E
GROR319,75.9,41.2,36.6,E
GROR316,68.9,43.6,37.6,E
GROR320,76.6,46.1,42.4,E
GROR315,77.2,47.2,42.2,E
GROR327,70,39,39,E
GROR329,69.2,46.2,40.6,E
GROR335,77.6,43.4,34.8,E
GROR330,74.8,41.9,41.9,E
GROR341,60.6,35.2,35.2,E
GROR314,74.9,44.5,44.5,E
GROR350,75.8,45.9,45.9,E
GROR322,65.9,39.5,32.1,E
GROR324,NA,NA,NA,E
GROR325,NA,NA,NA,E
GROR337,NA,NA,NA,E
GROR338,NA,NA,NA,E
GROR351,NA,NA,NA,E
