decimalLatitude	decimalLongitude
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.10141	4.3279
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.08566	4.17177
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.1716	4.32295
51.1716	4.32295
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.20551	4.37093
51.11896	4.26525
